source,preferred,rejected,attribute
"Inderdaad. Dus als Martin jouw favoriete show was toen je jong was, wat is dan nu je favoriete show?","निश्चित रूप से। तो अगर जब आप छोटे थे तब मार्टिन आपका पसंदीदा शो था, तो अब आपका पसंदीदा शो क्या है?","तुम समझ गए। वैसे, अगर बड़े होने पर मार्टिन तुम्हारा पसंदीदा शो था, तो अब तुम्हारा पसंदीदा शो कौन सा है?
",formal
Ik vind dat ook. Houdt u van fictie?,मैं भी सहमत हूँ। क्या आप फिक्शन पसंद करते हैं?,"मैं सहमत हूँ, तो क्या तुम फ़िक्शन पसंद करते हो?
",formal
jullie gaan een verhaal vertellen over jullie seksleven voor een groot publiek en Peter,आप लोग एक बड़े दर्शक समूह और पीटर के सामने अपने यौन जीवन के बारे में एक कहानी सुनाने जा रहे हैं।,"तुम लोगों से भरे दर्शकों और पीटर को अपने सेक्स जीवन के बारे में एक कहानी बताने जा रहे हो
",formal
"Wauw. Ik zou er waarschijnlijk een paar verkopen, en de rest houden als een investering. Wat zou u doen?","वाह। मैं शायद कुछ बेच दूंगा, और बाकी को निवेश के रूप में रख लूंगा। आप क्या करेंगे?","वाह। मैं शायद थोड़े बहुत बेच दूं, और बाकी को निवेश के तौर पर रखूं। तुम क्या करोगे?
",formal
terwijl u achterin uw auto zit en u zich niet op de weg hoeft te concentreren. Hoeveel uur u per jaar aan autorijden besteedt tegenover hoe u dat kunt gebruiken om productiever te zijn.,अपनी कार के पीछे बैठकर जब सड़क पर ध्यान देना नहीं पड़ता तब। साल में कितने घंटे आप ड्राइव करने में ख़र्च करते हैं बनाम आप उस समय का इस्तेमाल ज़्यादा उत्पादक बनने के लिए कैसे कर सकते हैं।,"अपनी कार के पीछे बैठकर जब सड़क पर ध्यान देना नहीं पड़ता तब। साल में कितने घंटे तुम ड्राइव करने में ख़र्च करते हो बनाम तुम उस समय का इस्तेमाल ज़्यादा उत्पादक बनने के लिए कैसे कर सकते हो।
",formal
Doe ik. Wat denk je van de blessure van Price?,मैं भी। आप प्राइस की चोट के बारे में क्या सोचते हैं?,"हाँ, तुम प्राइस इंजरी के बारे में क्या सोचते हो?
",formal
"Ja, precies. OK, kijk nu ook even naar mijn modewinkels. Waar winkel je gewoonlijk?","हां, बिलकुल सही। ठीक है, अब मेरी फैशन की दुकानों पर भी एक नज़र डालिए। आप आमतौर पर कहां से खरीदारी करते हैं?","हाँ, बिल्‍कुल। ठीक है, अब मेरे फ़ैशन स्टोर पर नजर डालो, तुम कहाँ से ख़रीदारी करते हो?
",formal
Waar verblijft u wanneer u doorheen het land reist?,आप देश भर में अपनी यात्रा के दौरान कहाँ ठहरते हैं?,"तुम देश भर में अपनी यात्रा के दौरान कहाँ ठहरते हो?
",formal
Zoals uw verzekeringen betalen en optredens zoeken en aannemen die u niet wilt aannemen.,जैसे आपके बीमा का भुगतान करना और ऐसे कार्यक्रमों की तलाश करना और उन्हें स्वीकार करना जिन्हें आप स्वीकार नहीं करना चाहते।,"जैसे तुम अपने सभी बीमा के लिए भुगतान करना जानते हो और गिग्स ढूँढने की कोशिश कर रहे हो, और गिग्स ले रहे हो जिन्हें तुम नहीं लेना चाहते हो
",formal
"Als u culturen vermengt, dan moet u hopen dat de overheersende cultuur de meer ingetogen cultuur niet verplettert, en ik zou uw vriendin eerder zien als behorende tot een meer ingetogen cultuur.","यदि आप संस्कृतियों को मिलाते हैं, तो आपको आशा करनी चाहिए कि प्रभावशाली संस्कृति संयमित संस्कृति को नष्ट न करे, और मैं आपकी प्रेमिका को एक अधिक संयमित संस्कृति से संबंधित मानूंगा।","जब तुम संस्कृतियों को मिलाते हो तो तुम उम्मीद करते हो कि सबसे प्रभावशाली संस्कृति शांत संस्कृति पर पूरी तरह से भारी न पड़े और मैं तुम्हारे दोस्त को एक शांत संस्कृति के रूप में देखूँगा
",formal
Ik heb al een tijdje geen Disneyfilm meer gezien. Is er iets dat u kan aanbevelen?,मैंने काफी समय से डिज़्नी की कोई फ़िल्म नहीं देखी है। क्या आप कोई सुझाव दे सकते हैं?,"मैंने काफी समय से डिज़्नी की कोई फ़िल्म नहीं देखी है। क्या तुम कोई सुझाव दोगे?
",formal
"Dat is een lange tijd geleden! Wat vindt u van de Chinese naam voor Guardians of the Galaxy? Die luidt: interplanetair bijzonder aanvalsteam, LOL.","यह बहुत पहले की बात है! गार्डियंस ऑफ़ द गैलेक्सी के चीनी नाम के बारे में आप क्या सोचते हैं? यह है: इंटरप्लेनेटरी असामान्य हमला दल, लोल।","यह बहुत पहले की बात है! वहाँ पर गार्डियंस ऑफ़ द गैलेक्सी के चीनी नाम के बारे में तुम क्या सोचते हो? यह है: इंटरप्लेनेटरी असामान्य हमला दल, लोल
",formal
