source,preferred,rejected,attribute
"¡Eso fue hace mucho! ¿Qué piensas del nombre en chino para Los guardianes de la galaxia? Se llama El inusual equipo de ataque interplanetario, ja, ja.","यह बहुत पहले की बात है! गार्डियन्स ऑफ द गैलेक्सी के चीनी नाम के बारे में आप क्या सोचते हैं? इसका नाम है अनोखी अंतरग्रहीय आक्रामक टीम, हा, हा।","यह बहुत पहले की बात है! वहाँ पर गार्डियंस ऑफ़ द गैलेक्सी के चीनी नाम के बारे में तुम क्या सोचते हो? यह है: इंटरप्लेनेटरी असामान्य हमला दल, लोल
",formal
Yo también lo jugaba. ¿Sabía que el hermano de Tom Hanks hace la voz de Woody en los videojuegos?,मैं भी इसे खेला करता था। क्या आप जानते हैं कि टॉम हैंक्स के भाई ने वुडी की आवाज वीडियो गेम में दी थी?,"मैं भी वह खेलता था। क्या तुम खेलते थे? टॉम हैंक्स के भाई ने वीडियो गेम में वुडी की आवाज़ निकाली थी?
",formal
"Sí, exactamente. Está bien, ahora también echo un vistazo a mis tiendas de ropa ¿dónde compra usted?","हाँ, बिलकुल सही। ठीक है, अब मैं अपनी कपड़ों की दुकानों पर भी नज़र डालता हूँ। आप कहाँ से खरीदारी करते हैं?","हाँ, बिल्‍कुल। ठीक है, अब मेरे फ़ैशन स्टोर पर नजर डालो, तुम कहाँ से ख़रीदारी करते हो?
",formal
"Aerolínea, ¿puedo cancelar mi viaje sin cancelar? ¿Cómo puede afectar la cancelación a tu trabajo? Cancelar, vale, ¿quieres cancelar tu viaje? Si quieres cancelar tu vuelo puedes ponerte en contacto con nosotros por correo electrónico o por teléfono.","एयरलाइन, क्या मैं अपनी यात्रा को रद्द किए बिना रद्द कर सकता हूँ? रद्द करना आपके काम को कैसे प्रभावित कर सकता है? रद्द करना, ठीक है, क्या आप अपनी यात्रा रद्द करना चाहते हैं? अगर आप अपनी उड़ान रद्द करना चाहते हैं तो आप ईमेल या फोन से हमसे संपर्क कर सकते हैं।","एयरलाइन, क्या मैं अपनी यात्रा कैंसिल किए बिना कैंसिल कर सकता हूँ? कैंसिल करना तुम्हारे काम को कैसे प्रभावित कर सकता है? कैंसिल किया जा रहा है, ठीक है अपनी यात्रा कैंसिल करना चाहते हो? अगर तुम अपनी फ़्लाइट कैंसिल करना चाहते हो तो तुम ईमेल या टेलीफ़ोन के ज़रिये हमसे संपर्क कर सकते हो।
",formal
"Bien, está todo despejado. Métase en su apartamento o déjelos entrar. Así que, ya sabe, esto se hace eterno. Mire, no sé cuánto tiempo va a","ठीक है, सब साफ़ है। अपने अपार्टमेंट में प्रवेश कीजिए या उन्हें अंदर आने दीजिए। तो, आप जानते हैं, यह लंबा खिंचता है। देखिए, मुझे नहीं पता कि यह कितनी देर तक चलेगा","ठीक है, तुम जा सकते हो। अपने अपार्टमेंट में जाओ या उन्हें अंदर आने दो। तुम्हारी जानकारी के लिए, ऐसा हमेशा चलता रहता है। देखिए, मुझे नहीं पता कि यह कब तक चलने वाला है
",formal
"Aerolínea, ¿puedo cancelar mi viaje sin cancelar? ¿Cómo puede afectar la cancelación a su trabajo? Cancelar, vale, ¿quiere cancelar su viaje? Si quiere cancelar su vuelo puede ponerse en contacto con nosotros por correo electrónico o por teléfono.","एयरलाइन, क्या मैं अपनी यात्रा को रद्द करने के बिना रद्द कर सकता हूं? रद्द करना आपके काम को कैसे प्रभावित कर सकता है? रद्द करना, ठीक है, क्या आप अपनी यात्रा रद्द करना चाहते हैं? यदि आप अपनी उड़ान रद्द करना चाहते हैं तो आप ईमेल या फोन के माध्यम से हमसे संपर्क कर सकते हैं।","एयरलाइन, क्या मैं अपनी यात्रा कैंसिल किए बिना कैंसिल कर सकता हूँ? कैंसिल करना तुम्हारे काम को कैसे प्रभावित कर सकता है? कैंसिल किया जा रहा है, ठीक है अपनी यात्रा कैंसिल करना चाहते हो? अगर तुम अपनी फ़्लाइट कैंसिल करना चाहते हो तो तुम ईमेल या टेलीफ़ोन के ज़रिये हमसे संपर्क कर सकते हो।
",formal
¿De pequeño jugaba con piezas de Lego?,क्या आप बचपन में लेगो के टुकड़ों से खेलते थे?,"क्या तुम बचपन में Lego से खेला करते थे?
",formal
Creo que eliminaría todo el placer de la vida. ¿Comida? ¿Cerveza? ¿Vino? ¿Qué es lo que haría con todo su tiempo?,मुझे लगता है कि यह जीवन से सभी सुखों को दूर कर देगा। खाना? बीयर? वाइन? आप अपने पूरे समय में क्या करेंगे?,"मुझे लगता है कि यह जीवन से सभी सुखों को दूर कर देगा। खाना? बीयर? वाइन? तुम अपने पूरे समय में करोगे क्या?
",formal
"¿cómo qué? Cuénteme cómo es la vida. Y le dije: escuche, esto no va a funcionar. Y le dije: hágame un favor. No vuelva a su","कैसे? मुझे बताइए कि जिंदगी कैसी है। और मैंने कहा: सुनिए, यह काम नहीं करेगा। और मैंने कहा: मेरा एक उपकार कीजिए। अपने पास वापस मत जाइए।","जैसे कि? ज़ि‍ंदगी कैसी होती है मुझे बताओ। और मैंने उससे कहा, सुनो, ऐसे काम नहीं बनेगा। और मैंने कहा, मुझ पर एक एहसान करो। वापस मत जाओ
",formal
"lo puede ver, existiría donde llegara a casa, sus hijos están a buen recaudo, donde hayan estado","आप देख सकते हैं, जहां भी वह घर पहुंचता है, उसके बच्चे सुरक्षित हैं, चाहे वे कहीं भी रहे हों।","तुम बस देख सकते हो कि तुम्हारा घर आना एक बहुत बड़ी बात हो सकती है, तुम्हारे बच्चों का ध्यान रखा जाता है, जहाँ वे रह रहे हैं
",formal
¿Escuchas música en el gimnasio? ¿Llevas tu propia música o escuchas lo que ya estén poniendo en el gimnasio?,क्या आप जिम में संगीत सुनते हैं? क्या आप अपना खुद का संगीत लेकर जाते हैं या जिम में जो संगीत बज रहा हो उसे सुनते हैं?,"क्या तुम जिम में म्यूज़िक सुनते हो? क्या तुम अपना खुद का म्यूज़िक लाते हो या जिम में जो पहले से बज रहा होता है उसे ही सुनते हो?
",formal
"Es una locura, yo lo haría sin duda, ¿subiría su memoria?","यह पागलपन है, मैं निश्चित रूप से ऐसा करूंगा, क्या आप अपनी याददाश्त को बढ़ाएंगे?","बहुत अजीब बात है, मैं तो बेशक करूंगा, क्या तुम अपनी यादों को अपलोड करोगे?
",formal
Como usted sabe pagar por todo su seguro y tratar de encontrar trabajos y quedarse los bolos que no quiere quedarse,"जैसा कि आप जानते हैं, अपना पूरा बीमा भरना और नौकरियां ढूंढने की कोशिश करना और उन काम को छोड़ना जिन्हें आप नहीं छोड़ना चाहते","जैसे तुम अपने सभी बीमा के लिए भुगतान करना जानते हो और गिग्स ढूँढने की कोशिश कर रहे हो, और गिग्स ले रहे हो जिन्हें तुम नहीं लेना चाहते हो
",formal
"Vaya, probablemente vendería una parte y guardaría el resto como inversión. ¿Qué harías tú?",शायद मैं एक हिस्सा बेच दूंगा और बाकी का हिस्सा निवेश के रूप में रख लूंगा। आप क्या करेंगे?,"वाह। मैं शायद थोड़े बहुत बेच दूं, और बाकी को निवेश के तौर पर रखूं। तुम क्या करोगे?
",formal
Creo que tú entiendes que no se trata de convencer a otras personas de que tu relación es increíble y no podría hablarnos de eso,मुझे लगता है कि आप समझते हैं कि यह दूसरों को यह समझाने की कोशिश नहीं है कि आपका रिश्ता अद्भुत है और इसके बारे में हमें नहीं बता सकते,"मुझे लगता है तुम समझते हो कि यह दूसरे लोगों को समझाने की बात नहीं है कि तुम्हारा रिश्ता बहुत बढ़िया है और मैं इसके बारे हमें नहीं बता सकता
",formal
"porque no le estás robando el tiempo a alguien más que podría estar vendiéndote. Los clientes que se toman algo en serio, no alguien que solo busca ser maquillado gratis.","क्योंकि आप किसी और का समय नहीं चुरा रहे हैं जो आपको कुछ बेच सकता था। ग्राहक जो इसे गंभीरता से लेते हैं, न कि कोई ऐसा जो बस मुफ्त में मेकअप करवाना चाहता हो।","क्योंकि ऐसा नहीं है कि तुम किसी का समय ले रहे हो जो तुम्हेंं कुछ बेच सकता है। वे ग्राहक जो किसी चीज़ के बारे में गंभीर हैं, न कि ऐसा कोई जो सिर्फ़ अपना मेकअप मुफ्त में करवाने की कोशिश कर रहा है।
",formal
"Cuando lo hagas, cuando tengas un hijo del que seas responsable, tendrás que ponerte las pilas.","जब आप ऐसा करेंगे, जब आपके पास कोई ऐसा बच्चा होगा जिसकी आप ज़िम्मेदारी लेंगे, तो आपको अपनी पूरी कोशिश करनी होगी।","तुम कब करोगे, जब तुम्हारा एक बच्चा हो जाएगा जिसके लिए तुम जिम्मेदार होगे, तुम्हेंं ख़ुद को तैयार करना होगा।
",formal
mientras estés sentado en la parte trasera de tu coche y no tengas que centrarse en la carretera. Cuántas horas al año dedicas a conducir en vez de usarlas para ser más productivo.,जब आप अपनी गाड़ी के पिछले हिस्से में बैठे हों और आपको सड़क पर ध्यान देने की ज़रूरत न हो। साल में कितने घंटे आप गाड़ी चलाने में बिताते हैं बजाय इसके कि उन घंटों का उपयोग और अधिक उत्पादक कार्यों के लिए करें।,"अपनी कार के पीछे बैठकर जब सड़क पर ध्यान देना नहीं पड़ता तब। साल में कितने घंटे तुम ड्राइव करने में ख़र्च करते हो बनाम तुम उस समय का इस्तेमाल ज़्यादा उत्पादक बनने के लिए कैसे कर सकते हो।
",formal
vas a contar una historia sobre tu vida sexual a una audiencia llena de gente y Peter,आप लोगों से भरे दर्शकों और पीटर को अपने सेक्स जीवन के बारे में एक कहानी बताने जा रहे हैं,"तुम लोगों से भरे दर्शकों और पीटर को अपने सेक्स जीवन के बारे में एक कहानी बताने जा रहे हो
",formal
"Cuando compra un producto, recibe algo a cambio. Si no compra algo, tal como Facebook, usted es el producto. Lo venden a otros a través de sus datos o anuncios.","जब आप किसी उत्पाद को खरीदते हैं, तो आप बदले में कुछ प्राप्त करते हैं। यदि आप कुछ नहीं खरीदते, जैसे कि फेसबुक, तो आप ही उत्पाद हैं। वे आपके डेटा या विज्ञापनों के माध्यम से आपको दूसरों को बेचते हैं।","कोई उत्पाद खरीदने पर, बदले में कुछ वापस मिलता है। अगर तुम कोई चीज़ नहीं खरीदते हैं, जैसे कि Facebook, तो तुम उत्पाद हो। वे तुम्हारे डेटा या विज्ञापनों के जरिए तुम्हेंं दूसरों को बेच रहे हैं।
",formal
"Cuando compras un producto, recibes algo a cambio. Si no compras algo, tal como Facebook, tú eres el producto. Te venden a otros a través de sus datos o anuncios.","जब आप किसी उत्पाद को खरीदते हैं, तो आप कुछ बदले में प्राप्त करते हैं। यदि आप कुछ नहीं खरीदते हैं, जैसे कि फेसबुक, तो आप ही उत्पाद हैं। वे आपके डेटा या विज्ञापनों के माध्यम से आपको दूसरों को बेचते हैं।","कोई उत्पाद खरीदने पर, बदले में कुछ वापस मिलता है। अगर तुम कोई चीज़ नहीं खरीदते हैं, जैसे कि Facebook, तो तुम उत्पाद हो। वे तुम्हारे डेटा या विज्ञापनों के जरिए तुम्हेंं दूसरों को बेच रहे हैं।
",formal
"¡Eso fue hace mucho! ¿Qué piensa del nombre en chino para Los guardianes de la galaxia? Se llama El inusual equipo de ataque interplanetario, ja, ja.","यह बहुत पहले की बात है! आप गार्डियंस ऑफ़ द गैलेक्सी के चीनी नाम के बारे में क्या सोचते हैं? इसका नाम है अनोखा अंतरग्रहीय आक्रमण दल, हा, हा।","यह बहुत पहले की बात है! वहाँ पर गार्डियंस ऑफ़ द गैलेक्सी के चीनी नाम के बारे में तुम क्या सोचते हो? यह है: इंटरप्लेनेटरी असामान्य हमला दल, लोल
",formal
"para tratar de bajar el precio. Porque para Airbnb no veo demasiados cupones, ya no te dan tu dinero si voy","कीमत कम करने की कोशिश करने के लिए। क्योंकि Airbnb के लिए मुझे ज़्यादा कूपन नहीं दिखते, अगर मैं जाऊं तो वे मुझे मेरा पैसा वापस नहीं करेंगे।","इन चीज़ों को आज़माओ और कीमत कम करो। क्योंकि Airbnb के लिए मुझे काफी ज़्यादा कूपन दिखाई नहीं देते, जैसे कि अगर मैं जाता हूँ तो वे तुम्हेंं तुम्हारे पैसे नहीं देंगे
",formal
Creo que eliminaría todo el placer de la vida. ¿Comida? ¿Cerveza? ¿Vino? ¿Qué es lo que harías con todo tu tiempo?,मुझे लगता है कि यह जीवन से सभी सुखों को दूर कर देगा। खाना? बीयर? वाइन? आप अपने पूरे समय में क्या करेंगे?,"मुझे लगता है कि यह जीवन से सभी सुखों को दूर कर देगा। खाना? बीयर? वाइन? तुम अपने पूरे समय में करोगे क्या?
",formal
"Ya veo, queda como si tuviese que estar casado durante toda su historieta, cómo se conocieron,","मैं समझ गया, यह ऐसा लगता है जैसे आपको अपनी पूरी कहानी के दौरान शादीशुदा रहना पड़ा हो, आप दोनों ने एक-दूसरे को कैसे जाना,","मैं देख रहा हूँ कि तुम ऐसे खड़े हो जैसे तुम्हारी शादी तुम्हारे जीवनसाथी से हो गई हो, तुम लोगों की मुलाक़ात कैसे हुई,
",formal
"donde sabe que puede limpiarse cuando va al baño en términos de aceites y aromas y todas esas cosas, absolutamente todo el mundo olía de maravilla, era simplemente la higiene y es impresionante","जहां आप जानते हैं कि जब आप शौचालय जाते हैं तो आप तेल और सुगंधों और उन सभी चीजों से अपने आप को साफ कर सकते हैं, बिलकुल हर कोई बहुत अच्छी तरह से महकता था, यह बस स्वच्छता थी और यह प्रभावशाली था","जहाँ तुम्हेंं पता है कि तुम वाशरूम में तेल और सुगंध और उन सभी चीज़ों का इस्तेमाल करके ख़ुद को साफ़ कर सकते हो, तो बिल्कुल हर किसी से बेहतरीन ख़ुशबू आ रही थी, यह स्वच्छता थी और यह बढ़िया है।
",formal
"Cuando lo haga, cuando tenga un hijo del que sea responsable, tendrá que ponerse las pilas.","जब आप ऐसा करेंगे, जब आपके पास कोई बच्चा होगा जिसकी जिम्मेदारी आप पर होगी, तब आपको सतर्क रहना होगा।","तुम कब करोगे, जब तुम्हारा एक बच्चा हो जाएगा जिसके लिए तुम जिम्मेदार होगे, तुम्हेंं ख़ुद को तैयार करना होगा।
",formal
"Sí. Y sobre todo si miente también y luego hace que pillen sus mentiras de forma intencionada. Entonces también lo hace usted mismo, no parece inteligente.","हाँ। और खासकर अगर आप झूठ भी बोलते हैं और फिर जानबूझकर अपने झूठों का पर्दाफाश करवाते हैं। तो आप स्वयं भी ऐसा करते हैं, आप बुद्धिमान नहीं लगते।","हाँ। और ख़ासकर अगर तुम झूठ भी बोल रहे हो, और फिर तुम जानबूझकर अपने ही झूठ में फँस जा रहे हो। तब तुम भी ख़ुद को बेवक़ूफ़ साबित करते हो।
",formal
