source,preferred,rejected,attribute
जैसे कि? तुम्हारे हाथ को क्या हुआ? मैं कुछ नहीं कहना चाहता था। मैं यह भी नहीं जानता कि इसे कहा कैसे जाता है और मैं कहूँगा कि कट गया,Como assim? O que aconteceu ao seu braço? Não queria dizer nada. Nem saberia como dizê-lo e diria que se cortou.,"como o quê? O que aconteceu ao teu braço? Não queria dizer nada. Nem saberia como o dizer e diria que cortei-me
",formal
"मैंने इसे पहले देखा था। फ़ोन के बारे में बात करते हुए, तुम्हारे द्वारा अपने फ़ोन का इस्तेमाल न करने करने वाले हर मिनट के लिए Unicef एक जरूरतमंद बच्चे को स्वच्छ पानी डोनेट करता है। अच्छी बात है।","Já tinha visto isso. A propósito de telefones, a cada minuto que não usa o seu telefone, a Unicef doa água potável a uma criança necessitada. É uma boa causa.","Vi-o antes. Falando do telefone, a Unicef vai doar um dia de água potável a uma criança necessitada para cada minuto em que não usas o teu telemóvel. Boa prática.
",formal
"हाँ मैं करता हूँ, बचपन में मैं Nintendo पर बहुत खेला करता था। अपना बताओ?","Sim, costumava jogar muito Nintendo em criança. E você?","Sim, costumava jogar muito Nintendo em criança. E tu?
",formal
"मैं जो कह रहा हूँ। अच्छी तरह जियो, तुम्हेंं पता है मैं क्या कह रहा हूँ। बिना किसी चिंता के जियो। तुम्हेंं पता है कि मेरा क्या मतलब है। शब्द।","Eu digo-lhe. Viva bem, sabe o que quero dizer. Viva sem preocupações. Sabe o que quero dizer. Palavras.","o que estou a dizer. Viver bem, percebes o que estou a dizer. Sabes sem preocupações. Percebes o que quero dizer. Juro.
",formal
आप देश भर में अपनी यात्रा के दौरान कहाँ ठहरते हैं?,Onde é que se hospeda durante a sua viagem pelo país?,"Onde te hospedas na tua viagem pelo país?
",formal
"मेरी सभी बहनें कॉलेज जा चुकी हैं। वे कॉलेज से ग्रेजुएशन कर चुकी हैं, बड़े भाई का (मास्टर्स) हो चुका है। स्कूल एक परिवार होता है। स्कूल जाना (होगा)।","Todas as minhas irmãs já foram para a universidade. Elas já se graduaram na universidade, o irmão mais velho já tem (mestrado). A escola é uma família. Tem de ir à escola.","todas as minhas irmãs foram para a universidade. Acabaram a universidade, o irmão mais velho tirou o seu (mestrado). A escola é uma família. (Tens) de ir para a escola.
",formal
"ठीक है, और आपको पता है, मैं सोचता हूँ कि अगर पुरुष इसे आगे बढ़ने की प्रतियोगिता की तरह देखते हैं जैसे उन्होंने कहा, मुझे अपनी बहन से आपका नंबर लेने दें,","Certo, e sabe, eu acho que se os homens veem isso como uma competição para avançar, como eles disseram, deixe-me conseguir o seu número da minha irmã,","Bom, e sabes, pergunto-me se os homens acham que é uma competição de exceder-se tipo ele disse vou ter o teu número pela minha irmã,
",formal
"मुझे लगता है कि सिर्फ़ इसलिए, प्रजातियों के संदर्भ में, जैसा कि आपने कहा, मनुष्य (विकसित) हैं। शायद कुछ अजीब लगा था। आपको लगता है","Eu acho que só por causa disso, no contexto das espécies, como disse, os humanos (evoluíram). Talvez parecesse um pouco estranho. Acha?","Acho que só porque, em termos de espécies, como disseste, os humanos são (desenvolvidos). Provavelmente parecem um pouco estranhos. Achas que o teu
",formal
"हाँ, चिड़ियाघर ले जा रहा हूँ, आपको पता है मैं क्या कह रहा हूँ","Sim, estou a levar-lhe ao jardim zoológico, sabe o que quero dizer.","sim, ir ao jardim zoológico, sabes o que estou a dizer
",formal
"ठीक है, और तुम्हेंं पता है, मैं सोचता हूँ कि अगर पुरुष इसे आगे बढ़ने की प्रतियोगिता की तरह देखते हैं जैसे उन्होंने कहा, मुझे अपनी बहन से तुम्हारा नंबर लेने दो,","Certo, e sabe, eu acho que se os homens veem isso como uma competição para avançar, como eles disseram, deixe-me pegar o seu número da sua irmã,","Bom, e sabes, pergunto-me se os homens acham que é uma competição de exceder-se tipo ele disse vou ter o teu número pela minha irmã,
",formal
"परदादा, आपको पता है मैं क्या कह रहा हूँ, यह ऐसा ही होता है","Avô, percebe o que quero dizer, é assim mesmo.","grande avó, percebes o que quero dizer é assim mesmo
",formal
