source,preferred,rejected,attribute
Did your family push back at all when you told them you were vegetarian?,क्या जब आपने अपने परिवार को बताया कि आप शाकाहारी हैं तो उन्होंने कुछ आपत्ति की थी?,"जब तुमने अपने परिवार को बताया कि तुम शाकाहारी हो तो क्या उन्होंने कोई दबाव डाला?
",formal
"Do you have any favourite spots or favourite memories about some of that, you know, if you stayed in your hotel or whatever the case might be?","क्या आपके कोई पसंदीदा स्थान या कुछ ऐसी पसंदीदा यादें हैं, जैसे कि अगर आप अपने होटल में रुके थे या जैसा भी मामला रहा हो?","क्या तुम्हारी कोई पसंदीदा जगह है या ऐसी कुछ जगहों के बारे में कोई पसंदीदा याद है, तुम्हेंं पता है, अगर तुम अपने होटल में रुके थे या जो भी बात हो?
",formal
"WHAT?!?!?!When you watch Netflix on your computer, understand Captcha is an acronym for ""completely automated public Turing test to tell computers and humans apart""","क्या?!?!?! जब आप अपने कंप्यूटर पर नेटफ्लिक्स देखते हैं, तो समझें कि कैप्चा ""कंप्यूटरों और मनुष्यों को अलग करने के लिए पूरी तरह से स्वचालित सार्वजनिक ट्यूरिंग परीक्षण"" का संक्षिप्त रूप है।","क्या?!?!?!जब तुम कंप्यूटर पर Netflix देखते हो, तो समझ जाओ कि कैप्चा का मतलब होता है ""कंप्यूटर और मनुष्य में फ़र्क बताने के लिए पूर्ण रूप से स्वचालित सार्वजनिक ट्यूरिंग परीक्षण""
",formal
"because it's not you're taking someone's time who could be selling to you. customers who are serious about something, not someone who just trying to get their makeup done for free.","क्योंकि यह नहीं है कि आप किसी ऐसे व्यक्ति का समय ले रहे हैं जो आपको कुछ बेच सकता है। ग्राहक जो किसी चीज़ के बारे में गंभीर हैं, न कि कोई ऐसा व्यक्ति जो बस मुफ्त में अपना मेकअप करवाना चाहता है।","क्योंकि ऐसा नहीं है कि तुम किसी का समय ले रहे हो जो तुम्हेंं कुछ बेच सकता है। वे ग्राहक जो किसी चीज़ के बारे में गंभीर हैं, न कि ऐसा कोई जो सिर्फ़ अपना मेकअप मुफ्त में करवाने की कोशिश कर रहा है।
",formal
"but I got how do you feel about your relationship with them. It's just like you gotta relationship, you think like your relation","लेकिन मैं समझ गया कि आप उनके साथ अपने रिश्ते के बारे में कैसा महसूस करते हैं। यह बस ऐसा है जैसे आपको एक रिश्ता चाहिए, आप अपने रिश्ते के बारे में सोचते हैं","लेकिन मुझे समझ आया कि तुम उनके साथ अपने रिश्ते के बारे में कैसा महसूस करते हैं। यह वैसा ही है जैसे तुम्हारा एक रिश्ता है, और तुम उसे बस नाम का रिश्ता मानते हो
",formal
"Life is short. I think you should pursue your dream, if you can.  I like Ryan Stiles.",जीवन छोटा है। मुझे लगता है कि अगर आप कर सकते हैं तो आपको अपने सपने का पीछा करना चाहिए। मुझे रयान स्टाइल्स पसंद हैं।,"जिंदगी बहुत छोटी है। मुझे लगता है कि अगर तुम कर सकते हो, तो तुम्हेंं अपने सपनों का पीछा करना चाहिए। मुझे रयान स्टाइल्स पसंद हैं।
",formal
Are you really? I find driving in video games to be harder than driving on the road in a real car. I can see how it could help you with your driving skills.,क्या आप वाकई में ऐसा मानते हैं? मुझे लगता है कि वीडियो गेम्स में ड्राइविंग करना सड़क पर वास्तविक गाड़ी चलाने से कठिन होता है। मुझे समझ में आता है कि यह आपके ड्राइविंग कौशल में सुधार कर सकता है।,"क्या तुम सच में? मुझे सड़क पर एक असली कार में ड्राइविंग करने की तुलना में वीडियो गेम में ड्राइविंग करना कठिन लगता है। मैं देख सकता हूँ कि यह कैसे तुम्हारे ड्राइविंग स्किल में तुम्हारी मदद कर सकता है।
",formal
"so you basically go, I am closing my account","तो आप बस यही कहेंगे, मैं अपना अकाउंट बंद कर रहा हूं।","तो मूल रूप से तुम जाओ, मैं अपना अकाउंट बंद कर रहा हूँ
",formal
family helps you so much in little ways that you don't even think about. You got to free you,परिवार कुछ मायनों में आपकी इतनी मदद करता है कि आप इसके बारे में सोचते भी नहीं हैं। आपको ख़ुद को मुक्त करना है,"परिवार कुछ  मायनों में तुम्हारी इतनी मदद करता है कि तुम इसके बारे में सोचते भी नहीं हो। तुम्हेंं ख़ुद को मुक्त करना है
",formal
"When you do, when you have a child that you're responsible for, you got to get your ducks in a row.","जब आप ऐसा करते हैं, जब आपके पास एक ऐसा बच्चा होता है जिसके लिए आप जिम्मेदार हैं, तो आपको अपने कामों को व्यवस्थित करना होता है।","तुम कब करोगे, जब तुम्हारा एक बच्चा हो जाएगा जिसके लिए तुम जिम्मेदार होगे, तुम्हेंं ख़ुद को तैयार करना होगा।
",formal
"the things that you wanted to like when you were young and you didn't wanna listen to what your parents had to say, you come to realize that they were trying to help you and","जब आप छोटे थे तो जिन चीज़ों को आप पसंद करना चाहते थे और आप अपने माता-पिता की बातों को नहीं सुनना चाहते थे, आप समझते हैं कि वे आपकी मदद करना चाहते थे और","जब तुम छोटे थे तब तुम वे चीज़़ें करना पसंद करते थे और तुम्हारे माता-पिता जो कहना चाहते थे तुम उन्हें नहीं सुनना चाहते थे, तुम्हेंं पता चलता है कि वे तुम्हारी मदद करना चाह रहे थे और
",formal
