source,preferred,rejected,attribute
"om te proberen de prijs omlaag te brengen. Want voor Airbnb zie ik niet veel coupons, ze geven u bijvoorbeeld uw geld niet als ik ga","Um zu versuchen, den Preis nach unten zu bringen. Denn für Airbnb sehe ich nicht viele Coupons, sie geben Ihnen beispielsweise Ihr Geld nicht zurück, wenn ich gehe.","Ding zum Ausprobieren und den Preis herunterzubringen. Weil für Airbnb sehe ich nicht allzu viele Coupons, also sie geben dir nicht dein Geld, wenn ich
",formal
"Zeker, mag ik ook je postcode en straatnaam alsjeblieft?","Sicher, dürfte ich bitte auch Ihre Postleitzahl und den Straßennamen haben?","Sicher, kann ich bitte auch deine Postleitzahl und den Straßennamen erfahren?
",formal
"Dat is waar, tegen de tijd dat je je antwoord ziet, ben je al verder gegaan.","Das stimmt, bis Sie die Antwort sehen, sind Sie schon weiter.","Stimmt, bis du deine Antwort siehst, hast du schon weitergemacht.
",formal
"Ik wilde je vragen wat je ervan vond. Jack Black zou oorspronkelijk de hoofdrol spelen in The Green Lantern, een film die oorspronkelijk een komedie was.","Ich wollte Sie fragen, was Sie davon halten. Jack Black sollte ursprünglich die Hauptrolle in The Green Lantern spielen, einem Film, der ursprünglich als Komödie geplant war.","Ich wollte fragen, was du darüber denkst. Jack Black sollte in Green Lantern, der ursprünglich eine Komödie sein sollte, mitspielen.
",formal
"Inderdaad. Dus als Martin jouw favoriete show was toen je jong was, wat is dan nu je favoriete show?","Ja, genau. Wenn Martin also Ihre Lieblingsshow war, als Sie jung waren, was ist dann jetzt Ihre Lieblingsshow?","Du hast es verstanden. Also, wenn Martin in deiner Kindheit deine Lieblingssendung war, was ist jetzt deine Lieblingssendung?
",formal
"En ik had zoiets van, ik ben slim genoeg, zoals je wel weet, ik kom er echt wel uit, ik moet iets geweldigs doen.","Und ich dachte so, ich bin schlau genug, wie Sie wissen, ich werde damit fertig, ich muss etwas Großartiges tun.","Und ich war so, ich bin so schlau wie du weißt, finde es einfach heraus, ich muss etwas Großartiges machen.
",formal
Zoals wat? Wat is er met uw arm gebeurd? Ik wilde niets zeggen. Ik zou niet eens weten hoe ik het moest zeggen en ik zei dat ik me gesneden had,"Wie bitte? Was ist mit Ihrem Arm passiert? Ich wollte nichts sagen. Ich wüsste gar nicht, wie ich es sagen sollte und ich sagte, dass ich mich geschnitten hätte.","Wie was? Was ist mit deinem Arm passiert? Ich wollte nichts sagen. Ich würde nicht einmal wissen, wie man das sagt und ich würde sagen, ich wurde geschnitten.
",formal
Wat was uw favoriete Disneyfilm toen u klein was?,"Was war Ihr Lieblings-Disney-Film, als Sie klein waren?","Was war als Kind dein Lieblingsfilm von Disney?
",formal
denkt u dat u de familie van uw vriend aardig vindt?,"Glauben Sie, dass Sie die Familie Ihres Freundes nett finden werden?","Denkst du, du magst die Familie deines Freundes?
",formal
Dat kan ik zeker begrijpen. Wat waren uw favoriete videogames? Jane McGongiai was de gamedesigner voor dat onderzoek. Best wel cool.,Das kann ich sicher verstehen. Was waren Ihre Lieblingsvideospiele? Jane McGonigal war die Spieledesignerin für diese Forschung. Ziemlich cool.,"Ich könnte mir das definitiv vorstellen. Welches waren deine Lieblings-Videospiele? Jane McGonigal war die Game-Designerin hinter dieser Studie, ziemlich cool.
",formal
"Inderdaad. Dus als Martin uw favoriete show was toen u jong was, wat is dan nu uw favoriete show?","Tatsächlich. Wenn Martin also Ihre Lieblingsshow war, als Sie jung waren, was ist dann Ihre Lieblingsshow heute?","Du hast es verstanden. Also, wenn Martin in deiner Kindheit deine Lieblingssendung war, was ist jetzt deine Lieblingssendung?
",formal
"weet je, ik kan begrijpen waarom, tijdens een rechtszaak in bepaalde gevallen. Dan het gaat er eigenlijk om of je bereid bent om recht te staan en te zeggen, je weet wel","Wissen Sie, ich kann verstehen, warum es in manchen Fällen während eines Gerichtsverfahrens so ist. Dann geht es eigentlich darum, ob Sie bereit sind, aufzustehen und zu sagen, Sie wissen schon.","Weißt du, ich kann mir denken, dass, wenn du in einer Verhandlung in einer bestimmten Rechtssituation bist, es wirklich nur darum geht, wie sehr du bereit bist, aufzustehen und zu sagen, weißt du
",formal
U kunt zelfs op de top van Mount Everest niet aan uw verslaving ontsnappen. Ook daarboven is er een 3G-netwerk en internettoegang.,Sie können Ihrer Sucht nicht einmal auf dem Gipfel des Mount Everest entkommen. Auch dort oben gibt es ein 3G-Netzwerk und Internetzugang.,"Du kannst deiner Sucht nicht einmal auf dem Gipfel des Everest entkommen. Dort oben gibt es 3G-Empfang und Internetfähigkeit!
",formal
"om te proberen de prijs omlaag te brengen. Want voor Airbnb zie ik niet veel coupons, ze geven je bijvoorbeeld je geld niet als ik ga","Um zu versuchen, den Preis nach unten zu bringen. Denn für Airbnb sehe ich nicht viele Coupons, sie geben Ihnen beispielsweise Ihr Geld nicht zurück, wenn ich gehe.","Ding zum Ausprobieren und den Preis herunterzubringen. Weil für Airbnb sehe ich nicht allzu viele Coupons, also sie geben dir nicht dein Geld, wenn ich
",formal
Waar verblijf je wanneer je doorheen het land reist?,"Wo übernachten Sie, wenn Sie durch das Land reisen?","Wo übernachtest du während deiner Reise durch das Land?
",formal
"Als u een kind hebt waar u verantwoordelijk voor bent, dan moet u uw zaken op orde hebben.","Wenn Sie ein Kind haben, für das Sie verantwortlich sind, dann müssen Sie Ihre Angelegenheiten geordnet haben.","Wenn du das tust, wenn du ein Kind hast, für das du verantwortlich bist, musst du deine Angelegenheiten geordnet bekommen.
",formal
"Maar zij vinden dat je als werknemer een verkoopdoel moet bereiken, dus als je een uur bezig bent met iemand op te maken","Aber sie finden, dass Sie als Mitarbeiter ein Verkaufsziel erreichen müssen, also wenn Sie eine Stunde damit verbringen, jemanden zu schminken","Aber die sind so, als Angestellter musst du Verkaufsziele erreichen, also wenn du eine Stunde damit zubringst, jemanden zu schminken
",formal
"Dat is waar, tegen de tijd dat u uw antwoord ziet, bent u al verder gegaan.","Das stimmt, bis Sie die Antwort sehen, sind Sie schon weitergegangen.","Stimmt, bis du deine Antwort siehst, hast du schon weitergemacht.
",formal
"Oké, u staat erbij alsof u met uw hele verhaal getrouwd moet zijn, hoe jullie bij elkaar zijn gekomen,","Okay, Sie stehen da, als müssten Sie Ihre ganze Geschichte erzählen, wie Sie zusammengekommen sind,","Ich verstehe, du stehst da, als ob du verheiratet sein solltest, deine ganze kleine Geschichte, wie ihr zusammengekommen seid,
",formal
Ik ben het eens met jou. Wat is jouw favoriete film?,Ich stimme Ihnen zu. Was ist Ihr Lieblingsfilm?,"Das sehe ich genauso wie du, was ist dein Lieblingsfilm?
",formal
Ik vind het leuk. Het spel is snel en leuk om naar te kijken. Vind jij het leuk?,Mir gefällt es. Das Spiel ist schnell und unterhaltsam zum Zuschauen. Gefällt es Ihnen auch?,"Mir macht das Spaß. Das Spiel ist beim Zuschauen so unterhaltsam und schnell. Gefällt es dir?
",formal
"Ik wilde u vragen wat u ervan vond. Jack Black zou oorspronkelijk de hoofdrol spelen in The Green Lantern, een film die oorspronkelijk een komedie was.","Ich wollte fragen, was Sie darüber denken. Jack Black sollte ursprünglich die Hauptrolle in The Green Lantern spielen, einem Film, der ursprünglich als Komödie geplant war.","Ich wollte fragen, was du darüber denkst. Jack Black sollte in Green Lantern, der ursprünglich eine Komödie sein sollte, mitspielen.
",formal
Goedemorgen! Hebt u ooit van K-pop gehoord?,Guten Morgen! Haben Sie jemals von K-Pop gehört?,"Guten Morgen! Hast du schon einmal von K-Pop gehört?
",formal
Wat is jouw favoriete Batman film? De mijne is The Dark Knight. Ik had gehoord dat Smallville oorspronkelijk zou gaan over Bruce Wayne die Batman wordt. Maar dat is dan blijkbaar uiteindelijk Gotham geworden.,"Welcher ist Ihr Lieblings-Batman-Film? Meiner ist The Dark Knight. Ich habe gehört, dass Smallville ursprünglich davon handeln sollte, wie aus Bruce Wayne Batman wurde. Aber daraus wurde dann anscheinend letztendlich Gotham.","Welcher ist dein Lieblings-Batman-Film? Meiner ist The Dark Knight. Ich habe gehört, dass Smallville ursprünglich davon handeln sollte, wie aus Bruce Wayne Batman wurde. Ich glaube, daraus wurde dann Gotham.
",formal
Goedemorgen! Heb je ooit van K-pop gehoord?,Guten Morgen! Haben Sie jemals von K-Pop gehört?,"Guten Morgen! Hast du schon einmal von K-Pop gehört?
",formal
"Oké, je staat erbij alsof je met je hele verhaal getrouwd moet zijn, hoe jullie bij elkaar zijn gekomen,","Okay, Sie stehen da, als müssten Sie Ihre ganze Geschichte erzählen, wie Sie zusammengekommen sind,","Ich verstehe, du stehst da, als ob du verheiratet sein solltest, deine ganze kleine Geschichte, wie ihr zusammengekommen seid,
",formal
Ik ben het eens met u. Wat is uw favoriete film?,Ich stimme Ihnen zu. Was ist Ihr Lieblingsfilm?,"Das sehe ich genauso wie du, was ist dein Lieblingsfilm?
",formal
Blue Jeans was het helemaal. Of toch niet echt. Wat denk jij over de kleinhandelszaken?,Blue Jeans war der Renner. Oder doch nicht wirklich. Was denken Sie über den Einzelhandel?,"Blue Jeans waren damals wegweisend. Stellt sich heraus, doch nicht. Was denkst du über die Einzelhandelsläden?
",formal
"Is uw raam trouwens open? Kunt u het dichtdoen? Ja, het is echt irritant. En hopelijk maakt dat het makkelijker voor de mensen die luisteren.","Ist übrigens Ihr Fenster offen? Könnten Sie es schließen? Ja, es ist wirklich störend. Und hoffentlich macht das es einfacher für diejenigen, die zuhören.","Ist dein Fenster übrigens offen? Kannst du es zumachen? Ja, es ist wirklich nervig. Und ich hoffe, dass es das für die Leute einfacher machen wird, zuzuhören.
",formal
Ik heb al een tijdje geen Disneyfilm meer gezien. Is er iets dat je kan aanbevelen?,Ich habe seit längerem keinen Disney-Film mehr gesehen. Haben Sie eine Empfehlung?,"Ich habe seit längerem keinen Disney-Film mehr gesehen. Hast du eine Empfehlung?
",formal
"Dat is een goed idee! Nou, het was leuk met je te kletsen vanochtend. Geniet nog van de rest van je dag, mijn vriend!","Das ist eine gute Idee! Nun, es war nett, heute Morgen mit Ihnen zu plaudern. Genießen Sie den Rest des Tages, mein Freund!","Das ist eine gute Idee. Also, es war unterhaltsam und schnell, heute Morgen mit dir zu chatten. Ich hoffe, du genießt den Rest deines Tages, Freund!
",formal
