source,preferred,rejected,attribute
ओह मुझे नहीं पता था। क्या तुमने वो फ़िल्म देखी है क्या वो अच्छी है?,"Oh, dat wist ik niet. Heeft u die film gezien? Is hij goed?","Oh, dat wist ik niet. Heb je die film gezien? Is hij goed?
",formal
"बेशक मैं वह देख पाया था। तुम्हारे पसंदीदा वीडियो गेम कौन से थे? जेन मैकगोनिगल उस अध्ययन के पीछे गेम डिजाइनर थी, बहुत बढ़िया।","Natuurlijk kon ik dat zien. Wat waren uw favoriete videogames? Jane McGonigal was de game designer achter die studie, heel goed.","Dat is interessant, dat wist ik niet. Ik hoop dat die film goed is. Heb je ooit de sitcom Growing Pains gezien? Blijkbaar hebben Brad Pitt, Matthew Perry en ook Leonardo DiCaprio daarin ooit gespeeld.
",formal
तुम देश भर में अपनी यात्रा के दौरान कहाँ ठहरते हो?,Waar logeert u tijdens uw reis door het hele land?,"Waar verblijf je wanneer je doorheen het land reist?
",formal
"क्योंकि कुत्तों की देखभाल करना बहुत बड़ा काम होता है और उनकी आवाज़ ज़ोरदार होती है और वे तुम्हारे फ़र्श पर पेशाब कर देते हैं और वे तुम्हारी चीज़़ें बर्बाद कर देते हैं, और वे बस परेशान कर देते हैं।","Omdat het veel werk is om voor honden te zorgen en ze hard blaffen en ze plassen op uw vloer en ze uw spullen kapot maken, en ze gewoon vervelend zijn.","Omdat honden veel werk zijn, en ze zijn luidruchtig en ze plassen op je vloer en ze vernielen je spullen, en ze zijn gewoon vervelend.
",formal
"नहीं, मैं देख रहा हूँ कि तुम्हारा बड़ा है और मेरा लगभग सपाट है। मेरा वॉल्यूम बढ़ाया हुआ है और तुम्हेंं मेरे माइक्रोफ़ोन के बारे में पता है।","Nee, ik zie dat uw scherm groter is en dat het mijne vrij plat is. Mijn volume staat hard en u weet hoe het zit met mijn microfoon.","Nee, ik zie dat het bij jou groot is, en bij mij ziet het er vrijwel plat uit. Mijn volume staat op het maximum en je kent mijn microfoon.
",formal
"आप नहीं कर सकते, आपको पता है, यह ऐसा नहीं है जैसे आपकी फ़ाइलों में जो है वह पर्याप्त है, नहीं ऐसा नहीं है। ठीक है, परिवार पहले या काम पहले","U kunt dat niet, weet u, het is niet alsof wat er in uw dossiers staat voldoende is, nee zo is het niet. Goed, komt de familie op de eerste plaats of het werk?","Dat kun je niet, weet je, het is niet alsof wat er in je dossier staat genoeg is, nee dat is het niet. Goed, komt de familie op de eerste plaats of het werk?
",formal
"मैं सहमत हूँ, तो क्या तुम फ़िक्शन पसंद करते हो?",Ik vind dat ook. Houdt u van fictie?,"Ik vind dat ook. Hou je van fictie?
",formal
"आप स्कूल जाना चाहते हैं, वे स्कूल जाने में आपकी मदद करेंगे, आपको पता है मैं क्या कह रहा हूँ, परिवार ऐसा ही होता है","Als u naar school wilt gaan, zullen zij u daarbij helpen, begrijpt u wat ik bedoel? Zo is een familie nu eenmaal.","Als je naar school wilt, helpen ze je naar school te gaan, snap je wat ik bedoel? Zo is familie.
",formal
"आपका पसंदीदा कौन सा है? क्या आपको Starbucks पसंद है, क्या आपको Dunkin' पसंद है, एक जैसी कॉफ़ी शॉप की इन चेन के बारे में क्या ख्‍़याल है?","Wat is uw favoriete? Houdt u van Starbucks, houdt u van Dunkin', wat denkt u van dit soort koffiewinkelketens?","Wat is jouw favoriet? Hou je van Starbucks, hou je van Dunkin's, hoe zit het met die koffieshopketens?
",formal
"यह काम से ज़्यादा ज़रूरी है, यह किसी नौकरी और करियर के होने से ज़्यादा ज़रूरी है, क्योंकि तुम्हारा करियर ख़त्म हो सकता है, तुम्हारा परिवार ख़त्म नहीं होगा। तुम्हारा परिवार बढ़ता रहेगा, तुम्हारा वंश बढ़ता रहेगा","Het is belangrijker dan werk, belangrijker dan een baan en carrière, want uw carrière kan eindigen, maar uw familie niet. Uw familie zal groeien, uw nageslacht zal groeien.","het is belangrijker dan werk, het is belangrijker dan een baan en een carrière, want je carrière houdt op, je familie niet. Je familie blijft bestaan, je bloedlijn zal blijven bestaan
",formal
"इन चीज़ों को आज़माएँ और कीमत कम करें। क्योंकि Airbnb के लिए मुझे काफी ज़्यादा कूपन दिखाई नहीं देते, जैसे कि अगर मैं जाता हूँ तो वे आपको आपके पैसे नहीं देंगे","Probeer deze dingen en verlaag de prijs. Want ik zie niet veel coupons voor Airbnb, dus als ik ga, zullen ze u uw geld niet teruggeven.","om te proberen de prijs omlaag te brengen. Want voor Airbnb zie ik niet veel coupons, ze geven je bijvoorbeeld je geld niet als ik ga
",formal
"हाँ, या आपके फ़ोन पर। तो, बहुत सजावटी। मुझे लगता है कि इसे कहने का सबसे अच्छा तरीका है सजावटी।","Ja, of op uw telefoon. Dus, erg decoratief. Ik denk dat decoratief de beste manier is om het te omschrijven.","Ja, of op je telefoon. Dus, weet je, echt super funky. Ik denk dat dat de beste manier is om het te omschrijven, een beetje funky.
",formal
