source,preferred,rejected,attribute
vous allez raconter une anecdote de votre vie sexuelle comme si vous vous adressiez à un public et à Peter,आप अपने यौन जीवन की एक घटना को ऐसे बताएंगे जैसे आप एक दर्शक और पीटर से बात कर रहे हों।,"तुम लोगों से भरे दर्शकों और पीटर को अपने सेक्स जीवन के बारे में एक कहानी बताने जा रहे हो
",formal
"(honnêtement prendre soin de) mes enfants, mes parents savent le faire. C'est ainsi qu'ils m'ont élevé. Si vous pouviez penser au meilleur dans la façon dont vous avez été élevé par vos parents etc.","(ईमानदारी से अपने बच्चों की देखभाल करना), मेरे माता-पिता इसे करना जानते हैं। उन्होंने मुझे इसी तरह पाला है। यदि आप अपने माता-पिता द्वारा पाले जाने के सर्वोत्तम तरीके के बारे में सोच सकते हैं आदि।","मेरे बच्चों का (ईमानदारी से ध्यान रखा) है, मेरे माता-पिता वह जानते हैं। तो इसी तरह उन्होंने मुझे बड़ा किया। अगर तुम सबसे अच्छी चीज़ के बारे में सोचो, तो तुम्हारे माता-पिता ने तुम्हेंं कैसे बड़ा किया और ऐसी चीज़़ें तुम कैसे करोगे।
",formal
"quand tu mélanges deux cultures, tu espères que la plus forte n'écrasera pas la plus modérée. Et j'ai tendance à percevoir la culture de ton amie comme une culture plus modérée","जब आप दो संस्कृतियों को मिलाते हैं, तो आप आशा करते हैं कि सबसे मजबूत संस्कृति सबसे मृदु संस्कृति को नहीं दबा देगी। और मुझे लगता है कि आपकी दोस्त की संस्कृति एक मृदु संस्कृति है।","जब तुम संस्कृतियों को मिलाते हो तो तुम उम्मीद करते हो कि सबसे प्रभावशाली संस्कृति शांत संस्कृति पर पूरी तरह से भारी न पड़े और मैं तुम्हारे दोस्त को एक शांत संस्कृति के रूप में देखूँगा
",formal
"Donc, chaque cas est un peu comme si vous pouviez trouver comment attirer vos clients et ça, vous savez le faire","इसलिए, हर मामला कुछ इस तरह है जैसे कि आप अपने ग्राहकों को आकर्षित करने का तरीका ढूंढ सकते हैं और आप यह जानते हैं कि ऐसा कैसे किया जाता है","इसलिए हर केस इस तरह का होता है जैसे अगर तुम यह पता लगा सकते हो कि अपने क्लाइंट्स को कैसे प्राप्त किया जाए और यह तुम्हेंं पता है
",formal
"QUOI?!?!?! Quand tu regardes Netflix sur ordinateur, tu dois savoir que Captcha est un acronyme de « Test public de Turing complètement automatique ayant pour but de différencier les humains des ordinateurs »","क्या?!?!?! जब आप कंप्यूटर पर नेटफ्लिक्स देखते हैं, तो आपको पता होना चाहिए कि कैप्चा एक अक्रोनिम है जिसका पूरा नाम है ""कम्पलीटली ऑटोमेटिड पब्लिक टुरिंग टेस्ट टू टेल कंप्यूटर्स एंड ह्यूमन अपार्ट"" जिसका मतलब है ""इंसानों और कंप्यूटरों को अलग करने के लिए पूरी तरह से स्वचालित सार्वजनिक ट्यूरिंग टेस्ट""","क्या?!?!?!जब तुम कंप्यूटर पर Netflix देखते हो, तो समझ जाओ कि कैप्चा का मतलब होता है ""कंप्यूटर और मनुष्य में फ़र्क बताने के लिए पूर्ण रूप से स्वचालित सार्वजनिक ट्यूरिंग परीक्षण""
",formal
mais vous pourriez faire tout cela sur freelancer.com. Je possède déjà un compte,लेकिन आप सब कुछ freelancer.com पर कर सकते हैं। मेरे पास पहले से ही एक अकाउंट है।,"लेकिन उनमें से कोई भी जो तुम कर सकते हो, फ़्रीलांसर डॉट कॉम। मेरा वहाँ अकाउंट है
",formal
asseyez-vous et assurez-vous que tous vos abonnés sur Twitter voient la réalité,कृपया बैठ जाइए और यह सुनिश्चित कर लीजिए कि आपके सभी ट्विटर फॉलोअर्स वास्तविकता को देख रहे हैं।,"बैठ जाओ और सुनिश्चित करो कि तुम्हारे Twitter फ़ीड पर हर कोई असली मुद्दे को देख रहा है
",formal
assieds-toi et assure-toi que tous tes abonnés sur Twitter voient la réalité,कृपया बैठ जाइए और यह सुनिश्चित कर लीजिए कि आपके सभी ट्विटर अनुयायी वास्तविकता देख रहे हैं।,"बैठ जाओ और सुनिश्चित करो कि तुम्हारे Twitter फ़ीड पर हर कोई असली मुद्दे को देख रहा है
",formal
"Tu as compris. Donc, si Martin était ton émission préférée en grandissant, quelle est ton émission préférée maintenant ?","आप सही समझे। तो, अगर मार्टिन आपका बचपन का पसंदीदा शो था, तो अब आपका पसंदीदा शो क्या है?","तुम समझ गए। वैसे, अगर बड़े होने पर मार्टिन तुम्हारा पसंदीदा शो था, तो अब तुम्हारा पसंदीदा शो कौन सा है?
",formal
mais j'ai compris ce que vous pensez de votre relation avec eux. C'est comme si vous aviez une relation et que vous pensiez qu'elle,लेकिन मैंने समझ लिया है कि आप उनके साथ अपने रिश्ते के बारे में क्या सोचते हैं। यह ऐसा है जैसे आपके पास एक रिश्ता है और आप सोचते हैं कि वह,"लेकिन मुझे समझ आया कि तुम उनके साथ अपने रिश्ते के बारे में कैसा महसूस करते हैं। यह वैसा ही है जैसे तुम्हारा एक रिश्ता है, और तुम उसे बस नाम का रिश्ता मानते हो
",formal
"Oui. Et surtout si tu mens aussi, et que tu te fais prendre intentionnellement dans tes mensonges. Ensuite, tu le fais aussi, tu n'as pas l'air malin.","हां। और ख़ासकर अगर आप भी झूठ बोलते हैं, और जानबूझकर अपने झूठों में पकड़े जाते हैं। फिर आप भी ऐसा करते हैं, तो आप बुद्धिमान नहीं लगते।","हाँ। और ख़ासकर अगर तुम झूठ भी बोल रहे हो, और फिर तुम जानबूझकर अपने ही झूठ में फँस जा रहे हो। तब तुम भी ख़ुद को बेवक़ूफ़ साबित करते हो।
",formal
Il n'est même pas possible d'échapper à votre addiction au sommet de l'Everest. Il y a la 3G et Internet là-haut !,एवरेस्ट की चोटी पर भी आप अपने व्यसन से नहीं बच सकते। वहां 3G और इंटरनेट उपलब्ध है!,"एवरेस्ट की चोटी पर भी तुम अपनी लत से बच नहीं सकते। वहाँ 3जी सेल सेवा और इंटरनेट क्षमताएं हैं!
",formal
Je me demande si l'on obtient des points supplémentaires si on se laisse pousser les cheveux pour ce cours ? Ah ah. J'ai suivi un cours de Mythologie et fantasy au lycée. C'était vraiment intéressant.,"मैं सोचता हूँ कि अगर आप उस क्लास के लिए अपने बाल लंबे करना शुरू कर देते हैं, तो क्या आपको अतिरिक्त क्रेडिट मिलेगा? हा हा। कॉलेज में मेरी माइथोलॉजी और फ़ैंटसी की क्लास थी। यह वास्तव में दिलचस्प थी।","मैं सोचता हूँ कि अगर तुम उस क्लास के लिए अपने बाल लंबे करना शुरू कर देते हो, तो क्या तुम्हेंं अतिरिक्त क्रेडिट मिलेगा? लोल कॉलेज में मेरी माइथोलॉजी और फ़ैंटसी की क्लास थी। यह काफी अच्छी थी।
",formal
J'y jouais aussi. Est-ce que tu savais que le frère de Tom Hanks fait la voix de Woody dans les jeux vidéos ?,मैं भी उसमें खेला करता था। क्या आप जानते थे कि टॉम हैंक्स के भाई ने वुडी की आवाज़ वीडियो गेम में दी थी?,"मैं भी वह खेलता था। क्या तुम खेलते थे? टॉम हैंक्स के भाई ने वीडियो गेम में वुडी की आवाज़ निकाली थी?
",formal
"tout en étant assis à l'arrière de ta voiture, sans avoir à te concentrer sur la route. Combien d'heures par an passes-tu à conduire alors que tu pourrais utiliser ce temps pour être plus productif ?","आप अपनी गाड़ी के पिछले हिस्से में बैठकर, सड़क पर ध्यान देने की ज़रूरत के बिना ऐसा कर सकते हैं। आप सालाना कितने घंटे गाड़ी चलाते हैं जबकि उस समय को और अधिक उत्पादक कामों में लगा सकते हैं?","अपनी कार के पीछे बैठकर जब सड़क पर ध्यान देना नहीं पड़ता तब। साल में कितने घंटे तुम ड्राइव करने में ख़र्च करते हो बनाम तुम उस समय का इस्तेमाल ज़्यादा उत्पादक बनने के लिए कैसे कर सकते हो।
",formal
"Donc, en termes d'hygiène, même dans les belles toilettes du centre commercial, ils proposent des équipements supplémentaires pour te laver lorsque tu vas aux toilettes et tout ça. L'hygiène n'était vraiment pas un problème dans les toilettes de style occidental.","इसलिए, स्वच्छता के मामले में, यहां तक कि शॉपिंग सेंटर के सुंदर शौचालयों में भी, वे आपको अतिरिक्त सुविधाएं प्रदान करते हैं ताकि आप शौचालय जाते समय अपने आपको धो सकें और ऐसा ही कुछ। पश्चिमी शैली के शौचालयों में स्वच्छता वास्तव में कोई समस्या नहीं थी।","इसलिए, मॉल में अच्छे बाथरूम में भी स्वच्छता के मामले में, जब तुम बाथरूम में जाते हो तो उनके पास ख़ुद को साफ़ करने के लिए अतिरिक्त चीज़़ें होती है। स्वच्छता के मामले में यक़ीनन कोई मुद्दा नहीं था, पश्चिमी स्टाइल के बाथरूम।
",formal
combien payez-vous pour votre facture Internet ?,आप अपने इंटरनेट बिल के लिए कितना भुगतान करते हैं?,"तुम अपने इंटरनेट बिल के लिए कितना भुगतान करते हो?
",formal
"Au fait, ta fenêtre est-elle ouverte ? Peux-tu la fermer ? Oui, c'est vraiment ennuyeux. Et j'espère que cela facilitera la tâche des personnes qui écoutent.","वैसे, क्या आपकी खिड़की खुली है? क्या आप उसे बंद कर सकते हैं? हाँ, यह वाकई परेशान करने वाला है। और मुझे उम्मीद है कि यह उन लोगों के लिए काम को आसान बनाएगा जो सुन रहे हैं।","वैसे क्या तुम्हारी खिड़की खुली है? क्या तुम इसे बंद कर सकते हो? हाँ, इससे काफी परेशानी होती है। और उम्मीद है कि इससे सुनने वाले लोगों को आसानी होगी।
",formal
"tout en étant assis à l'arrière de votre voiture, sans avoir à vous concentrer sur la route. Combien d'heures par an passez-vous à conduire alors que vous pourriez utiliser ce temps pour être plus productif ?","आपकी गाड़ी की पिछली सीट पर बैठे हुए, बिना सड़क पर ध्यान देने की आवश्यकता के। आप वर्ष में कितने घंटे गाड़ी चलाते हैं जबकि उस समय का उपयोग आप और अधिक उत्पादक कार्यों के लिए कर सकते हैं?","अपनी कार के पीछे बैठकर जब सड़क पर ध्यान देना नहीं पड़ता तब। साल में कितने घंटे तुम ड्राइव करने में ख़र्च करते हो बनाम तुम उस समय का इस्तेमाल ज़्यादा उत्पादक बनने के लिए कैसे कर सकते हो।
",formal
"parce que ce n'est pas le cas, tu fais perdre du temps à quelqu'un qui est là pour vendre à des clients sérieux, pas quelqu'un qui essaie juste de se maquiller gratuitement.","क्योंकि ऐसा नहीं है, आप उस व्यक्ति का समय बर्बाद कर रहे हैं जो गंभीर ग्राहकों को बेचने के लिए वहां है, न कि किसी ऐसे व्यक्ति का जो बस मुफ्त में मेकअप करवाना चाहता है।","क्योंकि ऐसा नहीं है कि तुम किसी का समय ले रहे हो जो तुम्हेंं कुछ बेच सकता है। वे ग्राहक जो किसी चीज़ के बारे में गंभीर हैं, न कि ऐसा कोई जो सिर्फ़ अपना मेकअप मुफ्त में करवाने की कोशिश कर रहा है।
",formal
C'est ce que j'ai entendu aussi. Que penses-tu de Morgan Freeman ? J'ai découvert récemment qu'il a joué dans The Electric Company dans les années 1970 !,मैंने भी यही सुना है। आप मॉर्गन फ्रीमैन के बारे में क्या सोचते हैं? मैंने हाल ही में जाना है कि उन्होंने 1970 के दशक में 'द इलेक्ट्रिक कंपनी' में अभिनय किया था!,"मैंने भी वह सुना है। अच्छा, तुम मॉर्गन फ़्रीमैन के बारे में क्या सोचते हो? मुझे पहले नहीं पता था, अभी हाल ही में पता चला है कि 70 के दशक में वे द इलेक्ट्रिक कंपनी में थे!
",formal
"Et que penses-tu de Chris Pratt, d'ailleurs ? C'est drôle qu'il ait considéré travailler de nouveau avec le réalisateur James Gunn pour le nouveau film Les Gardiens de la Galaxie.","और वैसे, आप क्रिस प्रैट के बारे में क्या सोचते हैं? यह मजेदार है कि उन्होंने जेम्स गन के साथ फिर से काम करने पर विचार किया है, जो गार्डियंस ऑफ़ द गैलेक्सी की नई फिल्म के निर्देशक हैं।","हाय, तुम क्रिस प्रैट के बारे में क्या सोचते हो? यह मजे की बात है कि वे नई गार्डियंस ऑफ़ द गैलेक्सी फ़िल्म के लिए निर्देशक जेम्स गन को फिर से लाना चाहते थे
",formal
mais tu pourrais faire tout cela sur freelancer.com. Je possède déjà un compte,लेकिन आप यह सब freelancer.com पर कर सकते हैं। मेरे पास पहले से ही एक खाता है।,"लेकिन उनमें से कोई भी जो तुम कर सकते हो, फ़्रीलांसर डॉट कॉम। मेरा वहाँ अकाउंट है
",formal
"les choses que vous vouliez aimer lorsque vous étiez jeune et pour lesquelles vous ne vouliez pas entendre l'avis de vos parents, vous réalisez à présent qu'ils essayaient de vous aider et","वे चीज़ें जिन्हें आप छोटे होते हुए पसंद करना चाहते थे और जिनके बारे में आप अपने माता-पिता की राय नहीं सुनना चाहते थे, अब आप समझते हैं कि वे आपकी मदद करने की कोशिश कर रहे थे और","जब तुम छोटे थे तब तुम वे चीज़़ें करना पसंद करते थे और तुम्हारे माता-पिता जो कहना चाहते थे तुम उन्हें नहीं सुनना चाहते थे, तुम्हेंं पता चलता है कि वे तुम्हारी मदद करना चाह रहे थे और
",formal
"Oui. Et surtout si vous mentez aussi, et que vous vous faites prendre intentionnellement dans vos mensonges. Ensuite, vous le faites aussi, vous n'avez pas l'air malin.","हाँ। और ख़ासकर अगर आप झूठ भी बोलते हैं, और जानबूझकर अपने झूठों में पकड़े जाते हैं। फिर आप भी ऐसा करते हैं, तो आप बुद्धिमान नहीं लगते।","हाँ। और ख़ासकर अगर तुम झूठ भी बोल रहे हो, और फिर तुम जानबूझकर अपने ही झूठ में फँस जा रहे हो। तब तुम भी ख़ुद को बेवक़ूफ़ साबित करते हो।
",formal
"Oui, exactement. Bon, maintenant jetez aussi un œil à mes boutiques de mode. Où faites-vous vos achats ?","हाँ, बिल्कुल। ठीक है, अब मेरे फैशन स्टोर पर भी नज़र डालें। आप अपनी खरीदारी कहाँ से करते हैं?","हाँ, बिल्‍कुल। ठीक है, अब मेरे फ़ैशन स्टोर पर नजर डालो, तुम कहाँ से ख़रीदारी करते हो?
",formal
"où vous pouvez vous laver quand vous allez aux toilettes, en termes d'huiles, d'odeurs et tout ça, absolument tout le monde sentait bon, c'était juste propre. C'est génial.","जहाँ आप शौचालय जाने के बाद अपने हाथ धो सकते हैं, तेलों, गंधों और इस तरह की सभी चीजों के मामले में, वहाँ बिलकुल हर कोई अच्छी तरह से महक रहा था, सब कुछ बिलकुल साफ था। यह बहुत बढ़िया है।","जहाँ तुम्हेंं पता है कि तुम वाशरूम में तेल और सुगंध और उन सभी चीज़ों का इस्तेमाल करके ख़ुद को साफ़ कर सकते हो, तो बिल्कुल हर किसी से बेहतरीन ख़ुशबू आ रही थी, यह स्वच्छता थी और यह बढ़िया है।
",formal
"compagnie aérienne, puis-je annuler mon voyage sans annuler ? Comment l'annulation pourrait-elle affecter ton travail ? Annulation, d'accord. Veux-tu annuler ton voyage ? Si tu souhaites annuler ton vol, tu peux nous contacter par e-mail ou par téléphone.","एयरलाइन कंपनी, क्या मैं अपनी यात्रा को निरस्त किए बिना निरस्त कर सकता हूँ? निरस्तीकरण आपके काम को कैसे प्रभावित कर सकता है? निरस्तीकरण, ठीक है। क्या आप अपनी यात्रा निरस्त करना चाहते हैं? अगर आप अपनी उड़ान निरस्त करना चाहते हैं, तो आप ईमेल या फोन से हमसे संपर्क कर सकते हैं।","एयरलाइन, क्या मैं अपनी यात्रा कैंसिल किए बिना कैंसिल कर सकता हूँ? कैंसिल करना तुम्हारे काम को कैसे प्रभावित कर सकता है? कैंसिल किया जा रहा है, ठीक है अपनी यात्रा कैंसिल करना चाहते हो? अगर तुम अपनी फ़्लाइट कैंसिल करना चाहते हो तो तुम ईमेल या टेलीफ़ोन के ज़रिये हमसे संपर्क कर सकते हो।
",formal
Intéressant. Je ne le savais pas. Que faites-vous d'autre de votre temps libre ?,दिलचस्प। मुझे नहीं पता था। आप अपने खाली समय में और क्या करते हैं?,"दिलचस्प है। मुझे वह नहीं पता था। तुम अपने खाली समय में और क्या करते हो?
",formal
As-tu joué aux Legos étant petit ?,क्या आप छोटे होते हुए लेगो से खेलते थे?,"क्या तुम बचपन में Lego से खेला करते थे?
",formal
"Oui, exactement. Il existe des chaussures inspirées du Magicien d'Oz qui peuvent t'indiquer le chemin pour rentrer chez toi à l'aide d'un système GPS lorsque tu tapes des talons.","हाँ, बिलकुल। मैजिक ऑफ ऑज़ से प्रेरित जूते हैं जो जब आप एड़ी से टक्कर मारते हैं तो जीपीएस सिस्टम की मदद से आपको घर जाने का रास्ता बताते हैं।","हाँ बिल्कुल। विज़ार्ड ऑफ़ ओज़ से प्रेरित जूते हैं जो असल में एक जीपीएस सिस्टम का इस्तेमाल करके तुम्हेंं घर का रास्ता बताते हैं जब तुम अपनी एक हील को दूसरी हील के साथ चटकाते हो।
",formal
"comme quoi ? Dites-moi à quoi ressemble la vie. Et je lui ai dit, écoutez, ça ne marchera pas. Et j'ai dit, faites-moi une faveur. Ne retournez pas dans votre","जैसे क्या? मुझे बताइए कि जीवन कैसा दिखता है। और मैंने उससे कहा, सुनिए, यह काम नहीं करेगा। और मैंने कहा, मेरे लिए एक उपकार कीजिए। आप अपने वापस मत जाइए","जैसे कि? ज़ि‍ंदगी कैसी होती है मुझे बताओ। और मैंने उससे कहा, सुनो, ऐसे काम नहीं बनेगा। और मैंने कहा, मुझ पर एक एहसान करो। वापस मत जाओ
",formal
"D'accord, en tant que consommateur, vous ne vous souciez pas vraiment de qui le fabrique, à qui il fait gagner de l'argent, qui il aide à employer... Vous voulez juste le payer au meilleur prix.","ठीक है, एक उपभोक्ता के रूप में, आपको यह नहीं पता कि इसे किसने बनाया है, इससे किसे पैसा मिल रहा है, यह किसे रोजगार दे रहा है... आप बस इसे सबसे सस्ते दाम पर खरीदना चाहते हैं।","ठीक है, इसलिए एक उपभोक्ता होने के नाते, तुम असल में इस बात की परवाह नहीं करते हो कि इसे कौन बनाता है, यह किसके लिए पैसा बनाता है, यह किसे रोजगार दिलाने में मदद करता है, तुम बस अपने लिए सबसे अच्छी कीमत प्राप्त करना चाहते हो।
",formal
"Cela vous fait mal au ventre, d'accord. Je pense que vous êtes intolérant au lactose.","आपको पेट में दर्द हो रहा है, ठीक है। मुझे लगता है कि आप लैक्टोज के प्रति असहिष्णु हैं।","इससे तुम्हारे पेट में दर्द होता है, ठीक है। मुझे लगता है कि तुम लैक्टोज बर्दाश्त नहीं कर पाते हो।
",formal
"Êtes-vous préoccupé à l'idée qu'à l'avenir, vos enfants puissent dire « Oh ! J'adorerais commander une couverture sur Amazon, et puis ça et ça... » sur vos appareils connectés ?","क्या आप इस बात से चिंतित हैं कि भविष्य में आपके बच्चे आपके कनेक्टेड डिवाइस पर कह सकते हैं, ""ओह! मैं अमेज़न से एक कंबल ऑर्डर करना चाहूंगा, और फिर यह और वह...""?","क्या तुम इस बारे में चिंतित हो कि आने वाले वक्त में जब तुम्हारे पास स्मार्ट डिवाइसेज़ होंगे तो तुम्हारे बच्चे यह कहेंगे, ओह। मैं Amazon से एक ब्लेंक ऑर्डर करना चाहता हूँ और फिर वे कहेंगे, और यह वह
",formal
Votre famille vous a-t-elle rejeté quand vous lui avez dit que vous étiez végétarien ?,क्या आपके परिवार ने आपको तब अस्वीकार कर दिया था जब आपने उन्हें बताया कि आप शाकाहारी हैं?,"जब तुमने अपने परिवार को बताया कि तुम शाकाहारी हो तो क्या उन्होंने कोई दबाव डाला?
",formal
"C'est pour cela que je n'apprécie pas toujours la télévision sur Internet, parce que je ne supporte pas de t'entendre dire quelque chose dix minutes après que ta bouche l'a prononcé. Cela gâche tout. Je ne vois pas comment tu pourrais faire.","यही कारण है कि मुझे इंटरनेट पर टेलीविजन देखना पसंद नहीं है, क्योंकि मैं आपके मुंह से कुछ निकलने के 10 मिनट बाद आपको वही कहते सुनना बर्दाश्त नहीं कर सकता। यह सब कुछ बिगाड़ देता है। मुझे नहीं लगता कि आप ऐसा कर सकते हैं।","इसलिए कभी-कभी इंटरनेट टीवी मेरे काम नहीं आती है, क्योंकि मैं तुम्हारे मुँह से कुछ कहने के दस मिनट बाद तुम्हेंं कुछ कहते हुए नहीं सुन पाता। यह इसे बर्बाद कर देता है। मुझे समझ में नहीं आता कि तुम यह कैसे कर सकते हो।
",formal
Et vous le renvoyez à Amazon en général ?,और क्या आप आम तौर पर इसे अमेज़न को वापस भेजते हैं?,"और तुम इसे आमतौर पर Amazon को वापस कर देते हो?
",formal
