source,preferred,rejected,attribute
Das ist eine tolle Idee! Bringen Sie Ihre Freunde auch zum Twittern! Haben Sie einen schönen Tag!,¡Esa es una gran idea! ¡Invite también a sus amigos a tuitear! ¡Que tenga un buen día!,"Qué buena idea. Que tus amigos también tuiteen. Que tengas un buen día.
",formal
Du meine Güte! Magst du Jazz?,¡Santo cielo! ¿Le gusta a usted el jazz?,"Oh, por Dios. ¿Te gusta el jazz?
",formal
"Ja, in Buffalo gibt es nicht viel mehr zu tun, als ins Einkaufszentrum zu gehen! Also, da du noch keinen Cadillac hattest, welche anderen Autos hattest du in deinem Leben?","Sí, en Buffalo no hay mucho más que hacer que ir al centro comercial! Bueno, ya que usted no ha tenido un Cadillac, ¿qué otros coches ha tenido en su vida?","Sí, no hay mucho más que hacer en Buffalo excepto ir al centro comercial. Entonces, ya que no has tenido un Cadillac, ¿qué otros coches has tenido en tu vida?
",formal
"Was sind Ihre Lieblingsfilme, was sind Ihre anderen Lieblingsfilme und/oder Ihre Lieblingsfilme von diesem Jahr?","¿Cuáles son sus películas favoritas, cuáles son sus otras películas favoritas y/o sus películas favoritas de este año?","¿Cuáles son tus películas favoritas, cuáles son tus otras películas favoritas o tus películas del año?
",formal
"Das tue ich. Früher habe ich viel gespielt, aber heute nicht mehr. Spielst du auch?","Lo hago. Antes solía jugar mucho, pero ya no. ¿Usted también juega?","Sí. Antes jugaba mucho, pero ya no. ¿También juegas?
",formal
"Haben Sie irgendwelche Lieblingsorte oder Lieblingserinnerungen von manchen dieser, wissen Sie, ob Sie in Ihrem Hotel geblieben sind oder was auch immer passiert sein mag?","¿Tiene algunos lugares favoritos o recuerdos favoritos de algunos de estos, sabe, si se quedó en su hotel o lo que sea que haya ocurrido?","¿Tú tienes algún lugar favorito o recuerdos favoritos sobre algunos de esos, ya sabes, si te quedaste en tu hotel o lo que sea?
",formal
"Ich weiß es nicht. Ich habe nur den ersten Film gesehen. Habe gehört, dass Angela Bassett in dem neuesten Film mitspielt. Ich mag sie sehr. Welche Stars sind Ihre Favoriten?",No lo sé. Solo he visto la primera película. He oído que Angela Bassett actúa en la última película. Me gusta mucho ella. ¿Cuáles son sus actores favoritos?,"No podría decirlo. Solo he visto la primera película. He oído que Angela Bassett sale en la última. Me gusta mucho. ¿Cuáles son tus coestrellas favoritas?
",formal
"Klingt wie, warte mal. Wie alt ist deine Tochter?","Parece que, espere un momento. ¿Qué edad tiene su hija?","Suena rollo espera un minuto. ¿Qué edad tiene tu hija?
",formal
"Nun ja, und weißt du, ich frage mich, ob es sich für Männer wie ein Wettbewerb anfühlt, sich zu übertreffen, wie er sagte, lass mich deine Nummer von meiner Schwester bekommen,","Bueno, y sabe, me pregunto si para los hombres se siente como una competencia por superarse, como él dijo, déjeme conseguir su número de mi hermana,","Bueno, y ya sabes, me pregunto si los hombres encuentran una competencia que superar, como él dijo que le dara tu número de mi hermana,
",formal
"Was ich sage. Gut leben, du weißt schon. Leben ohne Sorgen. Du weißt, was ich meine. Meine Rede.","Lo que digo. Vivir bien, ya sabe. Vivir sin preocupaciones. Usted sabe a lo que me refiero. Eso es lo que digo.","lo que digo. Para vivir bien, sabes lo que digo. Vivir sin preocupaciones. Ya sabes a lo que me refiero. En serio.
",formal
"Das ist ungewöhnlich, ich habe Heavy Metal nie für Literatur gehalten, aber gut. Wer ist Ihr Lieblingsautor?","Eso es inusual, nunca he considerado el heavy metal como literatura, pero bueno. ¿Quién es su autor favorito?","Eso es inusual, nunca había pensado en el heavy metal como literatura, pero bueno. ¿Quién es tu autor favorito?
",formal
"Blue Jeans waren damals wegweisend. Stellt sich heraus, doch nicht. Was denkst du über die Einzelhandelsläden?",Los jeans azules fueron revolucionarios en ese momento. Resulta que no. ¿Qué piensa usted sobre las tiendas minoristas?,"Los vaqueros azules eran la moda. Resulta que no tanto. ¿Qué piensas de las tiendas minoristas?
",formal
"Ich sehe es mir sehr gerne an, welches ist Ihre Lieblingsmannschaft?","Me encanta verlo, ¿cuál es su equipo favorito?","Me encanta verlo, ¿cuál es tu equipo favorito?
",formal
"Das heißt, dass Sie aus irgendeinem Grund nicht genug Platz auf Ihrem Computer haben.","Eso significa que, por alguna razón, no tiene suficiente espacio en su computadora.","Eso significa que no tienes suficiente espacio en tu ordenador por alguna razón.
",formal
"Was tust du gern zur Unterhaltung, um deine Aufmerksamkeit und Interessen aufrechtzuerhalten?",¿Qué actividades de entretenimiento le gusta realizar para mantener su atención e intereses?,"¿Qué te gusta hacer para entretenerte y mantener tu atención e intereses?
",formal
"Also, deswegen funktioniert für mich Internet-TV manchmal nicht, weil ich kann nicht hören, wie Sie Dinge sagen, nachdem es zehn Minuten vorher Ihr Mund gesagt hat. Das zerstört es. Ich kann nicht verstehen, wie Sie das können.","Bueno, por eso la televisión por Internet a veces no funciona para mí, porque no puedo oír cómo usted dice las cosas, después de que su boca las haya dicho diez minutos antes. Eso lo arruina. No entiendo cómo usted puede hacerlo.","Por eso a veces la televisión por Internet no me funciona, porque no puedo escucharte decir algo diez minutos después de que lo diga tu boca. Eso lo arruina. No entiendo cómo podías hacerlo.
",formal
"Das habe ich früher auch gespielt. Wusstest du, dass der Bruder von Tom Hanks in Videospielen die Stimme von Woody ist?",Yo también jugué a eso antes. ¿Sabía que el hermano de Tom Hanks es la voz de Woody en los videojuegos?,"Yo también lo jugaba. ¿Sabías que el hermano de Tom Hanks hace la voz de Woody en los videojuegos?
",formal
Ich hatte keine Ahnung! Mochten Sie Die Schöne und das Biest?,¡No tenía ni idea! ¿Le gustó La Bella y la Bestia?,"Supongo, ja, ja. ¿Te gusta Johnny Depp?
",formal
"(Passen wirklich auf) meine Kinder auf, meine Eltern wissen das. Also, so haben sie mich eben großgezogen. Wenn du an das Beste denken würdest, wie du von deinen Eltern erzogen wurdest und so, würdest du.","(Cuidan realmente) a mis hijos, mis padres lo saben. Así que, así me criaron. Si usted pensara en lo mejor de cómo le criaron sus padres y así, usted.","(honestamente, cuidar) mis hijos y mis padres lo saben. Así es como me criaron. Si tú pudieras pensar en lo mejor, cómo fuiste criado por tus padres y tal, lo harías.
",formal
"Sicher, kann ich bitte auch deine Postleitzahl und den Straßennamen erfahren?",¿Puedo pedirle también su código postal y el nombre de la calle?,"Claro, ¿puedes darme también tu código postal y nombre de la calle, por favor?
",formal
"Also werden wir über Familien und sowas reden und du weißt schon, all das","Bueno, hablaremos sobre familias y cosas así, ya sabe, todo eso","Así que vamos a hablar de las familias y cosas así y ya sabes, todo eso
",formal
Was war Ihr letztes Zuhause? Das wäre Puerto Rico.,¿Cuál fue su último hogar? Sería Puerto Rico.,"Cuál fue el último que sería tu hogar Ese sería Puerto Rico.
",formal
"(Passen wirklich auf) meine Kinder auf, meine Eltern wissen das. Also, so haben sie mich eben großgezogen. Wenn Sie an das Beste denken würden, wie Sie von Ihrer Eltern erzogen wurden und so, würden Sie.","(Cuidan realmente bien a) mis hijos, mis padres lo saben. Así que, así me criaron. Si pensara en lo mejor de cómo le criaron sus padres y eso, lo haría.","(honestamente, cuidar) mis hijos y mis padres lo saben. Así es como me criaron. Si tú pudieras pensar en lo mejor, cómo fuiste criado por tus padres y tal, lo harías.
",formal
"Machst du dir manchmal Sorgen, dass in der Zukunft, wenn du Smart-Geräte hast, deine Kinder sagen werden, oh, ich würde gerne was auch immer von Amazon bestellen und sie dann sagen, hey, so und so","¿Se preocupa a veces de que en el futuro, cuando tenga dispositivos inteligentes, sus hijos dirán: ""Oh, me gustaría pedir algo de Amazon"" y luego digan: ""Hey, tal y tal cosa""?","¿Te preocupa que en el futuro, cuando tengas los dispositivos inteligentes, tus hijos digan: ""Oh. Me encantaría pedir una manta de Amazon"", y luego digan: ""Hey, tal y tal""
",formal
"Hören Sie im Fitnessstudio Musik? Bringen Sie Ihre eigene Musik mit oder hören Sie das, was im Fitnessstudio ohnehin gespielt wird?",¿Escucha música en el gimnasio? ¿Trae su propia música o escucha la que ya está sonando en el gimnasio?,"¿Escuchas música en el gimnasio? ¿Llevas tu propia música o escuchas lo que ya estén poniendo en el gimnasio?
",formal
