source,preferred,rejected,attribute
"यह काम से ज़्यादा ज़रूरी है, यह किसी नौकरी और करियर के होने से ज़्यादा ज़रूरी है, क्योंकि तुम्हारा करियर ख़त्म हो सकता है, तुम्हारा परिवार ख़त्म नहीं होगा। तुम्हारा परिवार बढ़ता रहेगा, तुम्हारा वंश बढ़ता रहेगा","C'est plus important que le travail, c'est plus important que d'avoir un emploi et une carrière, car votre carrière peut se terminer, mais votre famille ne se terminera pas. Votre famille va grandir, votre lignée va grandir","elle est plus importante que le travail, plus importante que d'avoir un travail et une carrière, parce que ta carrière s'arrête, mais ta famille non. Ta famille continue, ta lignée continuera
",formal
मुझे पता है आपका क्या मतलब है। यह एकमात्र ऐसी चीज है जिसमें जीवन होता है और हमें यह जानना होगा कि ऐसा क्यों है।,Je comprends ce que vous voulez dire. C'est la seule chose vivante et nous devons comprendre pourquoi c'est ainsi.,"Je vois ce que tu veux dire. C'est le seul objet connu pour porter la vie et nous devons savoir pourquoi.
",formal
"लेकिन मुझे समझ आया कि तुम उनके साथ अपने रिश्ते के बारे में कैसा महसूस करते हैं। यह वैसा ही है जैसे तुम्हारा एक रिश्ता है, और तुम उसे बस नाम का रिश्ता मानते हो","Mais j'ai compris comment vous vous sentiez par rapport à votre relation avec eux. C'est comme si vous aviez une relation, mais que vous ne la considériez que de nom.","mais j'ai compris ce que tu penses de ta relation avec eux. C'est comme si tu avais une relation et que tu pensais qu'elle
",formal
"तो वैसे, तुम्हारा ख़ुद का पसंदीदा डिपार्टमेंट स्टोर कौन सा हैं? तुम्हेंं पता है जैसे मेरा मतलब है जैसे कि पूरे क्षेत्र में","Alors, quel est votre grand magasin préféré ? Vous savez, je veux dire dans toute la région.","D'ailleurs, quel est ton grand magasin préféré ? Tu vois ce que je veux dire, celui dont tu fais tout le tour
",formal
"यह काम से ज़्यादा ज़रूरी है, यह किसी नौकरी और करियर के होने से ज़्यादा ज़रूरी है, क्योंकि आपका करियर ख़त्म हो सकता है, आपका परिवार ख़त्म नहीं होगा। आपका परिवार बढ़ता रहेगा, आपका वंश बढ़ता रहेगा","C'est plus important que le travail, c'est plus important que d'avoir un emploi et une carrière, car votre carrière peut prendre fin, mais pas votre famille. Votre famille continuera de grandir, votre lignée continuera de s'étendre.","elle est plus importante que le travail, plus importante que d'avoir un travail et une carrière, parce que ta carrière s'arrête, mais ta famille non. Ta famille continue, ta lignée continuera
",formal
"आपको पता है, जब तक यह फिट बैठता है। यही सबसे बड़ी बात है। क्या आपको लगता है जब आप छोटे थे तब आप कपड़ों पर ज़्यादा पैसे ख़र्च करते थे, और आप अपने पहनावे पर ज़्यादा समय और ऊर्जा देते थे?","Vous savez, tant que ça vous va bien. C'est la chose la plus importante. Pensez-vous que quand vous étiez jeune, vous dépensiez plus d'argent pour vos vêtements et que vous passiez plus de temps et d'énergie sur votre apparence ?","Tu sais, tant que ça tombe bien. C'est le principal. Quand tu étais plus jeune, penses-tu que tu dépensais plus d'argent en vêtements et que tu consacrais plus de temps et d'énergie à tes tenues ?
",formal
"वैसे, आपकी टीम कैसी है, आपने बताया था कि आपका अपने सहकर्मियों के साथ काफी अच्छा रिश्ता है।","D'ailleurs, comment va votre équipe ? Vous m'aviez dit que vous aviez de très bonnes relations avec vos collègues.","Alors, qu'en est-il de ton équipe, tu as indiqué que tu entretenais une assez bonne relation avec tes collègues.
",formal
अपने फ़्रीलांसर अकाउंट में क्रेडिट कार्ड डालने के लिए क्या आपने क्रेडिट कार्ड डाला था?,Avez-vous ajouté une carte de crédit pour la mettre sur votre compte freelance ?,"As-tu enregistré une carte de crédit sur ton compte Freelancer ?
",formal
"मेरे बच्चों का (ईमानदारी से ध्यान रखा) है, मेरे माता-पिता वह जानते हैं। तो इसी तरह उन्होंने मुझे बड़ा किया। अगर तुम सबसे अच्छी चीज़ के बारे में सोचो, तो तुम्हारे माता-पिता ने तुम्हेंं कैसे बड़ा किया और ऐसी चीज़़ें तुम कैसे करोगे।","Mes enfants (honnêtement, je fais attention), mes parents le savent. Donc c'est ainsi qu'ils m'ont élevé. Si vous pensez au mieux, à la façon dont vos parents vous ont élevé et les choses de ce genre que vous feriez.","(honnêtement prendre soin de) mes enfants, mes parents savent le faire. C'est ainsi qu'ils m'ont élevé. Si tu pouvais penser au meilleur dans la façon dont tu as été élevé par tes parents etc.
",formal
"ज़रूर, क्या मुझे आपका ज़िप कोड और स्ट्रीट का नाम भी मिल सकता है?","Bien sûr, pourrais-je avoir également votre code postal et le nom de votre rue ?","Bien sûr. Puis-je également avoir ton code postal et le nom de la rue, s'il te plaît ?
",formal
