source,preferred,rejected,attribute
¿Escuchas música en el gimnasio? ¿Llevas tu propia música o escuchas lo que ya estén poniendo en el gimnasio?,"Hören Sie Musik im Fitnessstudio? Nehmen Sie Ihre eigene Musik mit oder hören Sie das, was dort schon läuft?","Hörst du im Fitnessstudio Musik? Bringst du deine eigene Musik mit oder hörst du das, was im Fitnessstudio ohnehin gespielt wird?
",formal
"Creo que no las he visto. No sigo la saga de Marvel muy de cerca. Sé que Chris Pratt tiene un papel en una serie de televisión, Parks and recreation. ¿La ha visto?","Ich glaube, ich habe sie nicht gesehen. Ich verfolge die Marvel-Reihe nicht so genau. Ich weiß, dass Chris Pratt eine Rolle in der Fernsehserie Parks and Recreation hat. Haben Sie die Serie gesehen?","Ich glaube, die habe ich nicht gesehen. Ich verfolge Marvel-Serien nicht so genau. Ich weiß aber, dass Chris Pratt in einer Serie mitgespielt hat, Parks and Rec. Hast du sie gesehen?
",formal
"Sí, jugaba mucho a la Nintendo en mi infancia. ¿Y usted?","Ja, das tue ich, als ich jünger war, habe ich viel Nintendo gespielt. Wie war es bei Ihnen?","Ja, das tue ich, als ich jünger war, habe ich viel Nintendo gespielt. Wie stehts mit dir?
",formal
"Bueno, obviamente los sentimientos no estaban permitidos en su familia y tampoco estaban permitidos en la mía, a menos que fuera enfado. Se nos permitía expresar el enfado porque eso es algo que todos han expresado,","Nun, offensichtlich waren Gefühle in Ihrer Familie nicht erlaubt, und in meiner auch nicht, es sei denn, es war Wut. Wut durften wir zeigen, denn das ist etwas, das alle einmal empfunden haben.","Nun, Gefühle waren in deiner Familie offensichtlich nicht erlaubt und sie waren auch in meiner Familie wirklich nicht erlaubt, es sei denn, es war Wut. Wir durften das Gefühl von Wut zeigen, denn das war alles, was jemand je gezeigt hat,
",formal
"Hola, ¿te gustan las películas de Disney?","Hallo, mögen Sie Disney-Filme?","Hallo, magst du Disney-Filme?
",formal
"Entonces, ¿cuál es su novio ideal?","Dann, wie sieht Ihr Idealpartner aus?","Also, was ist dein idealer fester Freund?
",formal
"Así que tomaste el paquete que llego, no podrías volver a comprar en esto mismo.","Also haben Sie das Paket angenommen, das ankam. Sie könnten nicht wieder bei demselben Anbieter bestellen.","Also, nimmst du die Verpackung, in der das gekommen ist, du könntest dasselbe Ding nicht zurückkaufen.
",formal
"No he oído nada de ellos últimamente. Creo que es un concepto divertido, burlarse de algunas de las peores producciones de Hollywood, pero me sabe mal por los nominados. ¿Los has visto?","Ich habe in letzter Zeit nichts mehr von ihnen gehört. Ich finde es eine witzige Idee, sich über einige der schlechtesten Hollywood-Produktionen lustig zu machen, aber es tut mir leid für die Nominierten. Haben Sie sie gesehen?","Bis vor Kurzem habe ich davon noch nichts gehört. Ich finde das Konzept witzig, über manche der schlechtesten Hollywood-Produktionen zu scherzen, aber mir tun die Nominierten leid! Hast du sie gesehen?
",formal
Eso significa que no tienes suficiente espacio en tu ordenador por alguna razón.,"Das bedeutet, dass aus irgendeinem Grund nicht genügend Speicherplatz auf Ihrem Computer vorhanden ist.","Das heißt, dass du aus irgendeinem Grund nicht genug Platz auf deinem Computer hast.
",formal
"A mí me gustó en La bella y la bestia. Está en Netflix, si tiene acceso. Trae recuerdos de la infancia","Ich mochte La bella y la bestia. Es ist auf Netflix, falls Sie Zugriff darauf haben. Es bringt Kindheitserinnerungen zurück.","Ich mochte sie in Die Schöne und das Biest. Er ist auf Netflix, wenn du darauf Zugriff hast. Bringt Kindheitserinnerungen zurück.
",formal
"Bueno, qué pasa con su equipo, mencionó que tiene una relación bastante buena con sus compañeros de trabajo.","Nun, wie sieht es mit Ihrem Team aus, Sie haben erwähnt, dass Sie eine ziemlich gute Beziehung zu Ihren Kollegen haben.","Was ist mit deinem Team, du hast erwähnt, dass du ein ziemlich gutes Verhältnis zu deinen Kollegen hast.
",formal
Su padre le puso el nombre de su abuelo,Ihr Vater hat ihm den Namen seines Großvaters gegeben.,"Dein Vater hat dich nach deinem Großvater benannt.
",formal
Hola. ¿Ha oído hablar de los premios Razzie? ¡Creo que premian las peores películas del año!,"Hallo. Haben Sie von den Razzie Awards gehört? Ich glaube, sie prämieren die schlechtesten Filme des Jahres!","Hallo. Hast du von der Preisverleihung der Goldenen Himbeere gehört? Scheint, als würden da die schlechtesten Filme des Jahres prämiert werden!
",formal
También podría correr el riesgo. LeBron se ve bien esta temporada. Está muy concentrado. ¿Quién es tu jugador favorito?,Sie könnten auch ein Risiko eingehen. LeBron sieht diese Saison gut aus. Er ist sehr fokussiert. Wer ist Ihr Lieblingsspieler?,"Könnten genauso gut ein Risiko eingehen. LeBron sieht diese Saison gut aus. Er ist so fokussiert. Wer ist dein Lieblingsspieler?
",formal
"La información en su Instagram, estoy seguro","Die Informationen auf Ihrem Instagram-Profil, ich bin mir sicher.","Informationen auf deinem Instagram, ich bin mir sicher
",formal
"Los veo como mínimo cada verano, todos van a Minnesota, conoce Minnesota","Ich sehe sie mindestens jeden Sommer, alle fahren nach Minnesota, kennen Sie Minnesota?","Ich sehe sie mindestens jeden Sommer, sie gehen alle nach Minnesota, kennst du Minnesota.
",formal
¿Qué tal? ¿Te gustan los deportes?,Wie geht es Ihnen? Mögen Sie Sport?,"Wie gehts? Magst du Sport?
",formal
"Así que vamos a hablar de las familias y cosas así y ya sabes, todo eso","Wir werden also über Familien und solche Dinge reden und Sie wissen schon, all das.","Also werden wir über Familien und sowas reden und du weißt schon, all das
",formal
