source,preferred,rejected,attribute
"हाँ, बहुत से लोगों को उनका शो पसंद आया, तो हाँ, क्या तुम्हेंं क्रिस प्रैट पसंद हैं?","Ja, viele Leute mochten seine Show, also ja, mögen Sie Chris Pratt?","Hat es, viele Leute mochten seine Show, also ja, magst du Chris Pratt?
",formal
गुड मॉर्निंग! क्या तुमने कभी के-पॉप के बारे में सुना है?,Guten Morgen! Haben Sie jemals von K-Pop gehört?,"Guten Morgen! Hast du schon einmal von K-Pop gehört?
",formal
"यह काम से ज़्यादा ज़रूरी है, यह किसी नौकरी और करियर के होने से ज़्यादा ज़रूरी है, क्योंकि तुम्हारा करियर ख़त्म हो सकता है, तुम्हारा परिवार ख़त्म नहीं होगा। तुम्हारा परिवार बढ़ता रहेगा, तुम्हारा वंश बढ़ता रहेगा","Dies ist wichtiger als jede Arbeit, wichtiger als jeder Job oder Karriere, denn Ihre Karriere kann enden, aber Ihre Familie nicht. Ihre Familie wird wachsen, Ihr Stammbaum wird wachsen.","Es ist wichtiger als Arbeit, es ist wichtiger als einen Job und eine Karriere zu haben, weil deine Karriere wird zu Ende gehen, deine Familie wird nicht zu Ende gehen. Deine Familie wird weitergehen, deine Blutlinie wird weitergehen.
",formal
"बिल्लियाँ मस्‍त होती हैं और वे बस तुम्हारे बिस्तर के नीचे बैठी रहती हैं और अगर वे पालतू बनना चाहती हैं, तो वे तुम्हेंं उन्हें पालतू बनाने देंगी","Katzen sind toll und sie sitzen einfach unter Ihrem Bett und wenn sie gezähmt werden wollen, lassen sie sich von Ihnen zähmen.","Katzen sind einfach relaxter und sie setzen sich einfach unter dein Bett und wenn sie Streicheleinheiten wollen, lassen sie sich von dir streicheln.
",formal
"हाँ। और ख़ासकर अगर तुम झूठ भी बोल रहे हो, और फिर तुम जानबूझकर अपने ही झूठ में फँस जा रहे हो। तब तुम भी ख़ुद को बेवक़ूफ़ साबित करते हो।",Ja. Und besonders wenn Sie lügen und sich dann absichtlich in Ihre eigene Lüge verstricken. Dann erweisen Sie sich selbst als dumm.,"Ja. Und besonders, wenn du auch noch lügst und dann absichtlich bei deinen Lügen erwischt wirst. Dann machst du dich auch, du wirkst nicht schlau.
",formal
मुझे इस बारे में इतना नहीं पता। क्या आपने जेनेरिक कॉमिक बुक के बारे में सुना है?,Ich weiß darüber nicht so viel. Haben Sie von Generic Comic Book gehört?,"Darüber weiß ich nicht viel. Hast du von dem generischen Comicheft gehört?
",formal
"हाँ, मैंने बस उन्हें सबसे नई वाली नटक्रैकर के डिज़्नी वाले वर्ज़न में देखा। क्या तुमने वह देखी है?","Ja, ich habe sie gerade in der neuesten Disney-Version von Der Nussknacker gesehen. Haben Sie diese Version gesehen?","Ja, habe ihn gerade in der letzten Disney-Interpretation des Nussknackers gesehen. Hast du das gesehen?
",formal
"सच है, जब तक तुम्हेंं अपना जवाब मिलता है, तब तक तुम आगे बढ़ चुके होते हो","Es stimmt, bis Sie Ihre Antwort erhalten, sind Sie schon weiter.","Stimmt, bis du deine Antwort siehst, hast du schon weitergemacht.
",formal
"आप स्कूल जाना चाहते हैं, वे स्कूल जाने में आपकी मदद करेंगे, आपको पता है मैं क्या कह रहा हूँ, परिवार ऐसा ही होता है","Sie möchten zur Schule gehen, sie werden Ihnen dabei helfen, zur Schule zu gehen, verstehen Sie, was ich meine? So ist die Familie.","Willst du zur Schule gehen, werden sie dir mit der Schule helfen, weißt du, was ich meine, so ist die Familie halt.
",formal
अपने फ़ोन पर क्यों देखना?,Warum sollten Sie auf Ihrem Telefon schauen?,"Warum schaust du auf deinem Handy?
",formal
