source,preferred,rejected,attribute
"आपको पता है मैं क्या कह रहा हूँ, मुझे लगता है कि परिवार ही सब कुछ है जो हमें मिला है। हमें बस यही मिला है, सिर्फ़ वही लोग हैं जो आपकी देखभाल करने वाले हैं।","Sabe lo que digo, creo que la familia es todo lo que tenemos. Es lo único que tenemos, son las únicas personas que cuidarán de usted.","Sabes lo que digo, siento que la familia es todo lo que tenemos. Eso es todo lo que tenemos, las únicas personas que van a cuidar de ti.
",formal
"हाँ आप सही कह रहे हैं। एक दिन पहले बड़े पैमाने पर शूटिंग के कारण स्टूडेंट्स के शोक मनाने के बावजूद, रिपब्लिकन सिर्फ फ़ॉक्स में दिखाई दिए, जहाँ बंदूक नियंत्रण के बारे में उन पर दबाव नहीं डाला जाएगा","Sí, tiene razón. A pesar del duelo de los estudiantes por el tiroteo masivo del día anterior, los republicanos solo aparecieron en Fox News, donde no serían presionados sobre el control de armas.","Sí, tienes razón. A pesar de que los estudiantes estaban de luto debido a un tiroteo masivo un día antes, los republicanos aparecieron solo en Fox, donde no los presionarían por el control de armas.
",formal
क्या आप करवा पाए? क्या आप इसे अपने फ़ोन में साइन इन करवा पाए?,¿Pudo hacerlo? ¿Pudo iniciar sesión en su teléfono?,"¿lo conseguiste? ¿Lograste que iniciara sesión en tu teléfono?
",formal
"वाह, बहुत ही अजीब और दुख की बात है। खैर, क्या आपने डफल बैग में मिले बाघ के बारे में सुना है?","Vaya, es realmente extraño y triste. En fin, ¿ha oído sobre el tigre encontrado en una bolsa de lona?","Vaya, eso es raro y triste. Por cierto, ¿has oído hablar del tigre encontrado en la bolsa de lona?
",formal
गुड मॉर्निंग! क्या आपने कभी के-पॉप के बारे में सुना है?,¡Buenos días! ¿Ha oído hablar del K-pop alguna vez?,"Buenos días. ¿Has oído hablar del K-Pop?
",formal
"मुझे लगता है कि प्रतिभा परिवार में दौड़ती है, बातचीत काफी मनोरंजक थी, समय देने के लिए धन्यवाद","Creo que el talento corre en la familia, la conversación fue muy entretenida, gracias por su tiempo.","Supongo que el talento viene de familia, la charla ha sido muy entretenida, gracias por tu tiempo.
",formal
"वैसे, सैन डिएगो गर्म से ज़्यादा तप्त होगा। सच में? क्या इसका कोई मतलब है? या इसका मतलब यह है कि आपको अपने बच्चे को बैंड के बाद कॉल नहीं करना चाहिए?","Por cierto, San Diego estará más que caluroso. ¿En serio? ¿Qué quiere decir eso? ¿O significa que no debería llamar a su hijo después de la banda?","Bueno, en San Diego será más caluroso que cálido. ¿En serio? ¿Hay algún significado detrás de eso? ¿O quiere decir que no puedes poner el nombre de un grupo a tu hijo?
",formal
"हैरानी की बात है, मैंने कभी भी हेवी मेटल के ऊपर साहित्य के तौर पर विचार नहीं किया, लेकिन ठीक है। आपका पसंदीदा लेखक कौन है?","Es sorprendente, nunca había pensado en el heavy metal como literatura, pero bueno. ¿Quién es su autor favorito?","Eso es inusual, nunca había pensado en el heavy metal como literatura, pero bueno. ¿Quién es tu autor favorito?
",formal
"तब तो बहुत बढ़िया हो जाएगा, खासकर फिनलैंड में... हाहा लगता है मैंने तुम्हारी टिप्पणी को गलत पढ़ लिया।","Entonces sería genial, especialmente en Finlandia... Haha parece que malinterpreté su comentario.","Eso sería épico, especialmente en Finlandia, LOL. Debo haber leído mal tu comentario.
",formal
"हाँ, बहुत से लोगों को उनका शो पसंद आया, तो हाँ, क्या आपको क्रिस प्रैट पसंद हैं?","Sí, a mucha gente le gustó su show, así que sí, ¿le gusta Chris Pratt?","Sí, su serie gustó a mucha gente, así que sí, ¿te gusta Chris Pratt?
",formal
"हाँ, इससे काम हो जाएगा। इंसेप्शन के बारे में क्या ख्याल है, क्या तुमने वह देखी है?","Sí, eso funcionará. ¿Qué opina de Inception, ha visto esa película?","Sí, ya servirá. ¿Y qué hay de Origen? ¿La has visto?
",formal
"हाँ, चिड़ियाघर ले जा रहा हूँ, तुम्हेंं पता है मैं क्या कह रहा हूँ","Sí, voy a llevarla al zoológico, ya sabe a lo que me refiero.","sí, ir al zoológico, sabes lo que digo
",formal
"वैसे, आपकी टीम कैसी है, आपने बताया था कि आपका अपने सहकर्मियों के साथ काफी अच्छा रिश्ता है।","Por cierto, ¿cómo está su equipo? Había mencionado que tiene una buena relación con sus compañeros de trabajo.","Bueno, qué pasa con tu equipo, mencionaste que tienes una relación bastante buena con tus compañeros de trabajo.
",formal
"लेकिन उनकी कीमतें इतनी बढ़िया हैं, और फिर उनके पास इतनी सारी चीज़़ें हैं जिन्हें तुम्हेंं आजमाने का मन होता है","pero sus precios son fantásticos, y tiene tantas cosas que usted tiene que probarlas","pero sus precios son fantásticos, y tiene tantas cosas que tú tienes que probarlas
",formal
"करने के लिए हमेशा कुछ न कुछ होता है, मेरा मतलब है यह आपके समय के लिए योग्‍य है, जैसे मुझे अपना समय बर्बाद करने से नफ़रत है।","Siempre hay algo que hacer, quiero decir que es digno de su tiempo, como a mí me disgusta malgastar mi tiempo.","Siempre hay algo que hacer, quiero decir que vale la pena, tu tiempo, como odio perder mi tiempo.
",formal
हाँ। यह उम्र में छोटा लगता है। आपसे बात करके अच्छा लगा!,Sí. Parece joven de edad. ¡Ha sido un placer hablar con usted!,"Sí. Parece joven. Fue un gusto charlar contigo.
",formal
