source,preferred,rejected,attribute
"ma ognuno di quelli li potrebbe fare, freelance dot com. Ho un account lì",लेकिन उनमें से कोई भी आप freelance.com पर कर सकते हैं। मेरा वहां एक अकाउंट है।,"लेकिन उनमें से कोई भी जो तुम कर सकते हो, फ़्रीलांसर डॉट कॉम। मेरा वहाँ अकाउंट है
",formal
"cosa? Mi dica com'è la vita. E a lui ho detto, ascolti, non funzionerà. E ho detto, mi faccia il favore. Non torni al suo","क्या? मुझे बताइए कि जीवन कैसा है। और मैंने उससे कहा, सुनिए, यह काम नहीं करेगा। और मैंने कहा, कृपया मेरी बात सुनिए। अपने पुराने तरीके पर वापस न लौटें।","जैसे कि? ज़ि‍ंदगी कैसी होती है मुझे बताओ। और मैंने उससे कहा, सुनो, ऐसे काम नहीं बनेगा। और मैंने कहा, मुझ पर एक एहसान करो। वापस मत जाओ
",formal
Non può sfuggire alla sua dipendenza nemmeno in cima all'Everest. Sulla sommità ci sono un servizio di dati mobili 3G e funzionalità Internet!,आप अपने व्यसन से एवरेस्ट की चोटी पर भी नहीं बच सकते। शिखर पर 3G मोबाइल डेटा सेवा और इंटरनेट सुविधा है!,"तुम फ़िल्में देखते हो, तुम्हारी पसंदीदा कौन सी है?
",formal
"Seipreoccupato che in futuro, quando avrai i dispositivi intelligenti, i tuoi possano dire: Oh! Mi piacerebbe ordinare un qualcosa da Amazon e poi, ehi così e così","क्या आप चिंतित हैं कि भविष्य में, जब आपके पास स्मार्ट डिवाइस होंगे, तो आपके लोग कह सकते हैं: ओह! मुझे अमेज़न से कुछ ऑर्डर करना है और फिर, ऐसा और वैसा","क्या तुम इस बारे में चिंतित हो कि आने वाले वक्त में जब तुम्हारे पास स्मार्ट डिवाइसेज़ होंगे तो तुम्हारे बच्चे यह कहेंगे, ओह। मैं Amazon से एक ब्लेंक ऑर्डर करना चाहता हूँ और फिर वे कहेंगे, और यह वह
",formal
Non puoi sfuggire alla tua dipendenza nemmeno in cima all'Everest. Sulla sommità ci sono un servizio di dati mobili 3G e funzionalità Internet!,एवरेस्ट की चोटी पर भी आप अपनी लत से बच नहीं सकते। वहाँ 3जी सेल सेवा और इंटरनेट क्षमताएं हैं!,"एवरेस्ट की चोटी पर भी तुम अपनी लत से बच नहीं सकते। वहाँ 3जी सेल सेवा और इंटरनेट क्षमताएं हैं!
",formal
quando Lei mescola culture diverse si augura che la cultura più roboante non schiacci la cultura più sommessa e vedrei il suo amico come la cultura più sommessa,"जब आप विभिन्न संस्कृतियों को मिलाते हैं, तो आप चाहते हैं कि अधिक शक्तिशाली संस्कृति कमज़ोर संस्कृति को दबा न दे और मुझे लगता है कि आपका दोस्त वही कमज़ोर संस्कृति है।","जब तुम संस्कृतियों को मिलाते हो तो तुम उम्मीद करते हो कि सबसे प्रभावशाली संस्कृति शांत संस्कृति पर पूरी तरह से भारी न पड़े और मैं तुम्हारे दोस्त को एक शांत संस्कृति के रूप में देखूँगा
",formal
"ma ho capito come si sente riguardo al suo rapporto con loro. È come se Lei si sentisse in obbligo, ritiene che la sua relazione","लेकिन मैंने समझ लिया है कि आप उनके साथ अपने रिश्ते के बारे में कैसा महसूस करते हैं। यह ऐसा लगता है जैसे आप बाध्य महसूस करते हैं, आपको लगता है कि आपका रिश्ता","लेकिन मुझे समझ आया कि तुम उनके साथ अपने रिश्ते के बारे में कैसा महसूस करते हैं। यह वैसा ही है जैसे तुम्हारा एक रिश्ता है, और तुम उसे बस नाम का रिश्ता मानते हो
",formal
"A proposito, la sua finestra è aperta? Può chiuderla? Sì, dà veramente fastidio e speriamo che così sia possibile sentire meglio.","बात यह है, क्या आपकी खिड़की खुली है? क्या आप इसे बंद कर सकते हैं? हां, यह वाकई परेशान कर रहा है और आशा है कि इससे आवाज़ अच्छी तरह से सुनाई देगी।","वैसे क्या तुम्हारी खिड़की खुली है? क्या तुम इसे बंद कर सकते हो? हाँ, इससे काफी परेशानी होती है। और उम्मीद है कि इससे सुनने वाले लोगों को आसानी होगी।
",formal
"Mi chiedo se si ottengono crediti extra se ci si fa crescere i capelli per quel corso, haha. Ho svolto un corso di mitologia e fantasia all'università. È stato abbastanza positivo.","मुझे आशंका है कि क्या आप उस पाठ्यक्रम के लिए अपने बालों को बढ़ाने पर अतिरिक्त क्रेडिट प्राप्त करते हैं, हाहा। मैंने विश्वविद्यालय में मिथक और कल्पना का एक पाठ्यक्रम किया था। यह काफी सकारात्मक अनुभव था।","मैं सोचता हूँ कि अगर तुम उस क्लास के लिए अपने बाल लंबे करना शुरू कर देते हो, तो क्या तुम्हेंं अतिरिक्त क्रेडिट मिलेगा? लोल कॉलेज में मेरी माइथोलॉजी और फ़ैंटसी की क्लास थी। यह काफी अच्छी थी।
",formal
"Lo facevo. Ora, come genitore, li calpesto. Ci giocava?","मैं ऐसा करता था। अब, एक अभिभावक के रूप में, मैं उन पर कदम रखता हूँ। क्या आप उनसे खेलते थे?","हाँ। अब मैं एक अभिभावक के नाते से उन पर कदम रखता हूँ। क्या तुम उनसे खेलते थे?
",formal
