source,preferred,rejected,attribute
"Willst du zur Schule gehen, werden sie dir mit der Schule helfen, weißt du, was ich meine, so ist die Familie halt.","क्या आप स्कूल जाना चाहते हैं, तो वे आपको स्कूल में मदद करेंगे, आप समझते हैं कि मैं क्या कहना चाहता हूं, यही परिवार है।","तुम स्कूल जाना चाहते हो, वे स्कूल जाने में तुम्हारी मदद करेंगे, तुम्हेंं पता है मैं क्या कह रहा हूँ, परिवार ऐसा ही होता है
",formal
"Wie, Sie wissen schon, für Ihre gesamten Versicherungen zahlen und versuchen, Auftritte zu finden und Auftritte anzunehmen, die Sie nicht nehmen wollen.","जैसे, आप जानते हैं, अपने सभी बीमा का भुगतान करना और शो पाने की कोशिश करना और ऐसे शो स्वीकार करना जिन्हें आप स्वीकार नहीं करना चाहते।","जैसे तुम अपने सभी बीमा के लिए भुगतान करना जानते हो और गिग्स ढूँढने की कोशिश कर रहे हो, और गिग्स ले रहे हो जिन्हें तुम नहीं लेना चाहते हो
",formal
Verfolgen Sie die Wahl?,क्या आप चुनाव का अनुसरण कर रहे हैं?,"क्या तुम चुनाव के साथ जारी रहते हो?
",formal
"Ich frage mich, wie UNICEF überhaupt wissen würde, ob Sie Ihr Handy benutzen oder nicht.",मुझे आश्चर्य होता है कि UNICEF को कैसे पता चलेगा कि आप अपना फोन इस्तेमाल कर रहे हैं या नहीं।,"मैं सोचता हूँ कि UNICEF को इसका पता भी कैसे चलेगा कि तुम अपने सेल फ़ोन का इस्तेमाल कर रहे थे या नहीं
",formal
"Stimmt, bis Sie Ihre Antwort sehen, haben Sie schon weitergemacht.","सही है, जब तक आप मेरा जवाब देखेंगे, तब तक आप आगे बढ़ चुके होंगे।","सच है, जब तक तुम्हेंं अपना जवाब मिलता है, तब तक तुम आगे बढ़ चुके होते हो
",formal
Wie viel zahlst du für deine Internetrechnung?,आप अपने इंटरनेट बिल के लिए कितना भुगतान करते हैं?,"तुम अपने इंटरनेट बिल के लिए कितना भुगतान करते हो?
",formal
"Es geht also in allen Fällen irgendwie einfach darum, ob Sie herausfinden können, wie Sie Ihre Kunden bekommen und das ist, wissen Sie,","इसलिए हर स्थिति में यह बस इस बात पर निर्भर करता है कि आप यह पता लगा सकें कि आपको अपने ग्राहकों को कैसे प्राप्त करना है और वह है, आप जानते हैं,","इसलिए हर केस इस तरह का होता है जैसे अगर तुम यह पता लगा सकते हो कि अपने क्लाइंट्स को कैसे प्राप्त किया जाए और यह तुम्हेंं पता है
",formal
"Hi, mir geht es super, und Ihnen? Lesen Sie gern?","नमस्ते, मैं बिलकुल ठीक हूँ, और आप? क्या आप पढ़ना पसंद करते हैं?","हाय, मैं बढ़िया हूँ, और तुम? क्या तुम्हेंं पढ़ना पसंद है?
",formal
"Das ist, als ob Sie verkaufen, das ist, als ob Sie das wirklich zu einem ganz geringen Preis machen müssen.","यह ऐसा है जैसे आप बेच रहे हों, यह ऐसा है जैसे आपको वास्तव में इसे बहुत कम कीमत पर करना पड़े।","जैसे तुम इसे बेच रहे हो, यह ऐसा लगता है जैसे तुम्हेंं असल में इसे कम लागत पर बनाना होगा।
",formal
"wo, du weißt schon, du dich waschen kannst, wenn du in den Waschraum gehst, in Bezug auf Öle und Düfte und all das. Jeder roch einfach wunderbar, es war einfach die Hygiene und es ist toll.","वाह, आप जानते हैं, जब आप बाथरूम जाते हैं तो आप स्नान कर सकते हैं, तेल और खुशबू और ऐसी चीजों के बारे में। हर कोई बहुत अच्छा महकता था, यह सिर्फ स्वच्छता थी और यह बहुत अच्छा था।","जहाँ तुम्हेंं पता है कि तुम वाशरूम में तेल और सुगंध और उन सभी चीज़ों का इस्तेमाल करके ख़ुद को साफ़ कर सकते हो, तो बिल्कुल हर किसी से बेहतरीन ख़ुशबू आ रही थी, यह स्वच्छता थी और यह बढ़िया है।
",formal
"Aber die sind so, als Angestellter musst du Verkaufsziele erreichen, also wenn du eine Stunde damit zubringst, jemanden zu schminken","लेकिन वे इस तरह हैं, एक कर्मचारी के रूप में आपको बिक्री लक्ष्यों को प्राप्त करना पड़ता है, इसलिए अगर आप किसी को मेकअप करने में एक घंटा बिताते हैं","लेकिन वे एक कर्मचारी की तरह होते हैं, जिनके पास पूरा करने के लिए सेल का लक्ष्य होता है और इसलिए अगर तुम किसी का मेकअप करने में एक घंटा लगा देते हो
",formal
"Also, Sie könnten mit Ihrer Verabredung in eine Komödie gehen – bromantische Komödien wie Harold and Kumar könnten gut zu einem romantischen Abend passen.","तो, आप अपनी डेट पर कॉमेडी मूवी देखने जा सकते हैं - हैरोल्ड और कुमार जैसी ब्रोमैंटिक कॉमेडी एक रोमांटिक शाम के लिए अच्छी हो सकती है।","खैर तुम अपनी डेट के साथ कॉमेडी फ़िल्म देख सकते हो - हेरोल्ड एंड कुमार जैसी पुरुष दोस्तों के बीच दोस्ती से जुड़ी कॉमेडी फ़िल्में डेट नाइट पर देखने के लिए अच्छी हो सकती हैं
",formal
"Das tue ich. Früher habe ich viel gespielt, aber heute nicht mehr. Spielst du auch?","मैं ऐसा करता हूँ। पहले मैं बहुत खेलता था, लेकिन आजकल नहीं। क्या आप भी खेलते हैं?","हाँ। पहले मैं बहुत खेलता था लेकिन अब नहीं। क्या तुम भी खेलते हो?
",formal
"Hey, übrigens, was halten Sie von Chris Pratt? Es ist witzig, dass er den Regisseur James Gunn erneut für den nächsten Guardians of the Galaxy-Film engagieren wollte.","हाय, वैसे, क्रिस प्रैट के बारे में आप क्या सोचते हैं? यह मजेदार है कि वह निर्देशक जेम्स गन को अगली गार्डियंस ऑफ द गैलेक्सी फिल्म के लिए फिर से काम पर रखना चाहता था।","हाय, तुम क्रिस प्रैट के बारे में क्या सोचते हो? यह मजे की बात है कि वे नई गार्डियंस ऑफ़ द गैलेक्सी फ़िल्म के लिए निर्देशक जेम्स गन को फिर से लाना चाहते थे
",formal
"Ich denke, dass würde dem Leben jegliche Freude nehmen. Essen? Bier? Wein? Was würden Sie mit Ihrer ganzen Zeit anfangen?",मुझे लगता है कि यह जीवन से सारी खुशियों को छीन लेगा। खाना? बीयर? वाइन? आप अपने सारे समय का क्या करेंगे?,"मुझे लगता है कि यह जीवन से सभी सुखों को दूर कर देगा। खाना? बीयर? वाइन? तुम अपने पूरे समय में करोगे क्या?
",formal
"Hey, übrigens, was hältst du von Chris Pratt? Es ist witzig, dass er den Regisseur James Gunn erneut für den nächsten Guardians of the Galaxy-Film engagieren wollte.","हाय, वैसे क्रिस प्रैट के बारे में आप क्या सोचते हैं? यह मज़ेदार है कि उन्होंने निर्देशक जेम्स गन को अगली गार्डियंस ऑफ़ द गैलेक्सी फिल्म के लिए फिर से काम पर रखना चाहा।","हाय, तुम क्रिस प्रैट के बारे में क्या सोचते हो? यह मजे की बात है कि वे नई गार्डियंस ऑफ़ द गैलेक्सी फ़िल्म के लिए निर्देशक जेम्स गन को फिर से लाना चाहते थे
",formal
"Wenn Sie das tun, wenn Sie ein Kind haben, für das Sie verantwortlich sind, müssen Sie Ihre Angelegenheiten geordnet bekommen.","यदि आप ऐसा करते हैं, यदि आपके पास ऐसा बच्चा है जिसके लिए आप जिम्मेदार हैं, तो आपको अपने मामलों को व्यवस्थित करना होगा।","तुम कब करोगे, जब तुम्हारा एक बच्चा हो जाएगा जिसके लिए तुम जिम्मेदार होगे, तुम्हेंं ख़ुद को तैयार करना होगा।
",formal
"Du schaust Filme, welcher ist dein Favorit?","आप फिल्में देखते हैं, आपकी पसंदीदा फिल्म कौन सी है?","तुम फ़िल्में देखते हो, तुम्हारी पसंदीदा कौन सी है?
",formal
"Wie was? Erzählen Sie mir, wie das Leben ist. Und ich sagte ihm, hören Sie, das wird nicht funktionieren. Und ich sagte, tun Sie mir einen Gefallen. Gehen Sie nicht zurück zu Ihrem","क्या? मुझे बताइए कि जीवन कैसा है। और मैंने उससे कहा, सुनिए, ऐसा नहीं होगा। और मैंने कहा, मेरा एक उपकार कीजिए। अपने वहाँ वापस न जाइए","जैसे कि? ज़ि‍ंदगी कैसी होती है मुझे बताओ। और मैंने उससे कहा, सुनो, ऐसे काम नहीं बनेगा। और मैंने कहा, मुझ पर एक एहसान करो। वापस मत जाओ
",formal
"Weißt du, du kannst nicht, es ist so, dass das, was auf deinen Dokumenten steht, nicht genug ist, nein, das ist es nicht. Okay, entweder Familie oder Arbeit an erster Stelle.","आप जानते हैं, आप नहीं कर सकते, यह ऐसा है कि जो आपके दस्तावेज़ों पर लिखा है, वह पर्याप्त नहीं है, नहीं, यह नहीं है। ठीक है, या तो परिवार या नौकरी प्रथम प्राथमिकता है।","तुम नहीं कर सकते, तुम्हेंं पता है, यह ऐसा नहीं है जैसे तुम्हारी फ़ाइलों में जो है वह पर्याप्त है, नहीं ऐसा नहीं है। ठीक है, परिवार पहले या काम पहले
",formal
