source,preferred,rejected,attribute
"Sim, as pessoas tendem a esquecer-se de que são livres para se ir embora. Eu gosto dessa sabedoria e tática. Também pode jogar um jogo mentalmente, desafiando-se a ser entretido pelo encontro/saída.","हाँ, लोग भूल जाते हैं कि वे स्वतंत्र हैं और चले जा सकते हैं। मुझे यह बुद्धिमत्ता और रणनीति पसंद है। आप मानसिक रूप से एक खेल भी खेल सकते हैं, जिसमें आप अपने आप को मुलाकात/बाहर जाने से मनोरंजित करने की चुनौती दे सकते हैं।","हाँ, लोग यह भूल जाते हैं कि वे अपनी मर्जी से छोड़कर जा सकते हैं। मुझे वह ज्ञान और कौशल पसंद है। पूरी मीटिंग/डेट से अपना मनोरंजन करने के लिए खुद को चुनौती देकर तुम अपने मन में एक खेल भी खेल सकते हो।
",formal
Uau. Eu provavelmente venderia alguns e ficava com o resto como um investimento. O que é que você faria?,वाह। मैं शायद कुछ को बेच दूंगा और बाकी को निवेश के रूप में रख लूंगा। आप क्या करेंगे?,"वाह। मैं शायद थोड़े बहुत बेच दूं, और बाकी को निवेश के तौर पर रखूं। तुम क्या करोगे?
",formal
"Então, pega esta embalagem que chegou, não poderia comprar de volta a mesma coisa.","तो आप उस पैकेजिंग को ले लें, जो आई है, आप वही चीज़ वापस नहीं ख़रीद सकते।","तो तुम उस पैकेजिंग को ले लो, जो आई है, तुम वही चीज़ वापस नहीं ख़रीद सकते।
",formal
"Sim, está correto. Apesar dos estudantes estarem de luto devido a um tiroteiro em massa no dia anterior, os Republicanos apareceram apenas na Fox onde não seriam pressionados sobre o controlo de armas","हाँ आप सही कह रहे हैं। एक दिन पहले बड़े पैमाने पर शूटिंग के कारण स्टूडेंट्स के शोक मनाने के बावजूद, रिपब्लिकन सिर्फ फ़ॉक्स में दिखाई दिए, जहाँ बंदूक नियंत्रण के बारे में उन पर दबाव नहीं डाला जाएगा।","हाँ तुम सही कह रहे हो। एक दिन पहले बड़े पैमाने पर शूटिंग के कारण स्टूडेंट्स के शोक मनाने के बावजूद, रिपब्लिकन सिर्फ फ़ॉक्स में दिखाई दिए, जहाँ बंदूक नियंत्रण के बारे में उन पर दबाव नहीं डाला जाएगा
",formal
"lol, sei que tem de gostar se está a experimentar algo novo! Fazer algo diferente com a água é interessante. Mas lambê-la como um gato não parece divertido.","लोल, मुझे पता है कि अगर आप कुछ नया करते हैं तो आपको पसंद आना चाहिए! पानी के साथ कुछ अलग करना दिलचस्प है। लेकिन बिल्ली की तरह उसे चाटना मजेदार नहीं लगता।","लोल, मुझे पता है कि अगर तुम कुछ नया करने की कोशिश कर रहे हो, तो तुम्हेंं इसका मजा लेना होगा! पानी के साथ कुछ अलग करना दिलचस्प है। लेकिन, इसे बिल्ली की तरह चाटना मजेदार नहीं लगता।
",formal
"Sim, as pessoas tendem a esquecer-se de que são livres para se ir embora. Eu gosto dessa sabedoria e tática. Também podes jogar um jogo mentalmente, desafiando-te a ser entretido pelo encontro/saída.","हां, लोग यह भूल जाते हैं कि वे चले जाने के लिए स्वतंत्र हैं। मुझे यह बुद्धिमत्ता और रणनीति पसंद है। आप मानसिक रूप से एक खेल भी खेल सकते हैं, जिसमें आप खुद को मुलाकात/बाहर जाने से मनोरंजित करने के लिए चुनौती दें।","हाँ, लोग यह भूल जाते हैं कि वे अपनी मर्जी से छोड़कर जा सकते हैं। मुझे वह ज्ञान और कौशल पसंद है। पूरी मीटिंग/डेट से अपना मनोरंजन करने के लिए खुद को चुनौती देकर तुम अपने मन में एक खेल भी खेल सकते हो।
",formal
Sim. Jogava muito mas agora não. Também jogas?,हाँ। मैं बहुत खेलता था लेकिन अब नहीं। क्या आप भी खेलते हैं?,"हाँ। पहले मैं बहुत खेलता था लेकिन अब नहीं। क्या तुम भी खेलते हो?
",formal
"Faz exercício no trabalho. Uma desculpa provável. Na sua vida, alguma vez teve, alguma vez houve uma altura em que fazia exercício regularmente?","आप काम पर व्यायाम करते हैं। एक संभावित बहाना। क्या आपके जीवन में कभी ऐसा कोई वक्त आया है, या था, जब आप नियमित रूप से व्यायाम करते थे?","तुम काम पर व्यायाम करते हो। एक संभावित बहाना। क्या तुम्हारे जीवन में कभी ऐसा कोई वक्त आया है, या था, जब तुम नियमित रूप से व्यायाम करते थे?
",formal
"Oh, meu Deus! Por que é que pagas tanto?","ओह, मेरे भगवान! आप इतना अधिक क्यों भुगतान करते हैं?","ओह! तुम इतना ज़्यादा क्यों भुगतान करते हो?
",formal
Estás a falar a sério? Acho que conduzir nos videojogos é mais complicado que conduzir na estrada com um carro a sério. Consigo ver como pode ajudar-te com as tuas capacidades de condução.,क्या आप गंभीर हैं? मुझे लगता है कि वीडियो गेम में ड्राइविंग करना असली कार से सड़क पर ड्राइविंग करने से ज्यादा मुश्किल है। मैं देख सकता हूं कि यह आपकी ड्राइविंग क्षमताओं में कैसे मदद कर सकता है।,"क्या तुम सच में? मुझे सड़क पर एक असली कार में ड्राइविंग करने की तुलना में वीडियो गेम में ड्राइविंग करना कठिन लगता है। मैं देख सकता हूँ कि यह कैसे तुम्हारे ड्राइविंग स्किल में तुम्हारी मदद कर सकता है।
",formal
