source,preferred,rejected,attribute
"हाँ, बहुत से लोगों को उनका शो पसंद आया, तो हाँ, क्या तुम्हेंं क्रिस प्रैट पसंद हैं?","Sì, a molte persone è piaciuto il suo spettacolo, quindi sì, Le piace Chris Pratt?","Un successo, a molte persone è piaciuto il suo programma quindi sì, ti piace Chris Pratt?
",formal
"मुझे पोकेमोन खेलना बहुत पसंद था, क्या आपने कभी वह गेम खेला या सीरीज़ देखी?","Mi piaceva molto giocare a Pokémon, ha mai giocato a quel gioco o visto la serie?","Mi piaceva giocare a Pokemon, ci hai mai giocato o guardato la serie?
",formal
"इससे आपके पेट में दर्द होता है, ठीक है। मुझे लगता है कि आप लैक्टोज बर्दाश्त नहीं कर पाते हैं।","Questo Le fa male alla pancia, vero? Penso che Lei abbia un'intolleranza al lattosio.","Ti fa male allo stomaco, ok. Penso che tu sia intollerante al lattosio.
",formal
क्या वे तुम्हारे जीवन के उस हिस्से में भाग लेने के लिए तैयार हैं।,Sono loro pronti a prendere parte a quella parte della sua vita?,"Sono disposti a partecipare a quella parte della tua vita.
",formal
क्या तुम बचपन में Lego से खेला करते थे?,Giocava con i Lego da piccolo?,"Giocavi con i Lego da piccolo?
",formal
वह कभी नहीं पहुँचा और ऐसा था जैसे आपको अपना हाथ काटने के लिए कभी दुख नहीं हुआ।,Lei non è mai arrivato ed era come se non Le fosse mai dispiaciuto tagliarsi la mano.,"Non si è mai messo in contatto ed era tipo, non ti dispiacerà mai abbastanza
",formal
"और वे उन सभी प्रॉडक्ट्स को ऑर्डर करते हैं जो वे वितरित करते हैं और जो उनके पास नहीं है, तुम्हेंं पता है जैसे कि नई चीज़़ें लाता है","E ordinano tutti quei prodotti che distribuiscono e che non hanno, come quando introducono nuove cose, sa?","e ordinano tutti i prodotti che distribuiscono e che sono esauriti, sai cose nuove
",formal
"हाँ यह बढ़िया है। विन डीजल को एक खुफिया स्क्रिप्ट मिली है जिसमें लिखा हुआ है कि ग्रूट असल में फ़िल्मों में क्या बोल रहा है, इस बारे में तुम्हेंं क्या लगता है","Sì, è fantastico. Vin Diesel ha ricevuto uno script segreto che spiega cosa sta realmente dicendo Groot nei film, cosa ne pensa?","Sì, è fantastico, ahah. Cosa ne pensi del fatto che Vin Diesel abbia ricevuto una sceneggiatura segreta che dice ciò di cui Groot sta effettivamente parlando nei film?
",formal
"ठीक है, इसलिए एक उपभोक्ता होने के नाते, आप असल में इस बात की परवाह नहीं करते हैं कि इसे कौन बनाता है, यह किसके लिए पैसा बनाता है, यह किसे रोजगार दिलाने में मदद करता है, आप बस अपने लिए सबसे अच्छी कीमत प्राप्त करना चाहते हैं।","Bene, quindi in quanto consumatore, a Lei non importa davvero chi lo produce, chi ci guadagna soldi, a chi aiuta a dare lavoro, Lei vuole semplicemente ottenere il miglior prezzo per sé.","Va bene, quindi, da consumatore, tu te ne infischi di chi lo fa, chi ci guadagna, quante persone occupa, tu vuoi solo ottenere il miglior prezzo per te.
",formal
"हाँ मैं करता हूँ, बचपन में मैं Nintendo पर बहुत खेला करता था। अपना बताओ?","Sì, lo faccio, da bambino giocavo molto su Nintendo. E Lei?","Sì, lo so, giocavo molto con il Nintendo da piccolo. E tu?
",formal
हे भगवान! क्या आपको जैज़ पसंद है?,Dio mio! Le piace il jazz?,"Oh, mio Dio! Ti piace il jazz?
",formal
"हाँ, बिल्‍कुल। ठीक है, अब मेरे फ़ैशन स्टोर पर नजर डालें, आप कहाँ से ख़रीदारी करते हैं?","Sì, assolutamente. Ok, ora dia un'occhiata al mio negozio di moda, dove fa Lei shopping?","Eh sì,esattamente. Ok, ora dai anche un'occhiata ai miei negozi di moda dove fai acquisti?
",formal
"ख़ासकर चूँकि मुझे लगता है, आपके परिवार के विपरीत, उसके मामले में हममें से किसी ने भी असल में बोलने के लिए वह रास्ता नहीं अपनाया।","Soprattutto perché penso che, a differenza della sua famiglia, nel suo caso nessuno di noi ha davvero preso quella strada per parlare.","soprattutto perché immagino che, a differenza della tua famiglia, nel suo caso nessuno di noi segue davvero la stessa strada per così dire.
",formal
