source,preferred,rejected,attribute
Qual era o teu filme da Disney favorito quando eras criança?,¿Cuál era su película favorita de Disney cuando era niño?,"¿Cuál era tu película favorita de Disney cuando era niño?
",formal
"Faz exercício no trabalho. Uma desculpa provável. Na sua vida, alguma vez teve, alguma vez houve uma altura em que fazia exercício regularmente?","Hace ejercicio en el trabajo. Una excusa probable. ¿En su vida, alguna vez tuvo, alguna vez hubo un momento en el que hacía ejercicio regularmente?","Haces ejercicio en el trabajo. Una excusa creíble. En tu vida, ¿alguna vez llegaste, hubo un punto en el que hacías ejercicio de forma rutinaria?
",formal
"como o quê? Diga-me como é a vida. E eu disse-lhe, oiça, isso não vai funcionar. E disse, faça-me um favor. Não volte para o seu","¿Cómo qué? Dígame, ¿cómo es la vida? Y yo le dije: escuche, eso no va a funcionar. Y dije: hágame un favor, no vuelva a su...","¿cómo qué? Cuéntame cómo es la vida. Y le dije: escucha, esto no va a funcionar. Y le dije: hazme un favor. No vuelvas a tu
",formal
Interessante. Viu esse filme? Eu vi-o.,Interesante. ¿Ha visto esa película? Yo la he visto.,"Interesante. ¿Has visto la película? Yo la he visto.
",formal
Fixe! Viste o primeiro filme que saiu em 1977? Lembro-me de ir ao cinema ver.,¡Estupendo! ¿Vio usted la primera película que salió en 1977? Recuerdo haber ido al cine a verla.,"¡Qué bien! ¿Viste la primera película cuando se estrenó en 1977? Recuerdo haber ido al cine a verla.
",formal
"É sempre algo a fazer, quer dizer, só vale o seu tempo tipo eu odeio desperdiçar o meu tempo.","Siempre hay algo que hacer, quiero decir, solo vale la pena su tiempo, como yo odio desperdiciar mi tiempo.","Siempre hay algo que hacer, quiero decir que vale la pena, tu tiempo, como odio perder mi tiempo.
",formal
"Sim, concordo consigo! Vejo Youtube quase todos os dias. Não posso acreditar que o Google comprou o YouTube por 1,65 mil milhões de dólares em 2006. Isso parece há tanto tempo atrás.","¡Sí, estoy de acuerdo con usted! Veo YouTube casi todos los días. No puedo creer que Google compró YouTube por 1,65 mil millones de dólares en 2006. Parece que fue hace tanto tiempo.","Sí, estoy de acuerdo contigo. Veo YouTube casi todos los días. No puedo creer que Google haya comprado YouTube por 1650 millones de dólares en 2006. Parece que fue hace mucho tiempo.
",formal
"Ande lá dê-me o seu, entre na nossa pequena diversão e não estamos a guardar dinheiro, mas esse livro é fenomenal, fala de tipos diferentes de seguro que devia ter.","Vamos, deme su oportunidad, únase a nuestro pequeño entretenimiento y no vamos a ahorrar dinero, pero ese libro es fenomenal, habla de los diferentes tipos de seguro que debe tener.","Vamos, da una oportunidad a nuestro pequeño entretenimiento y no vamos a ahorrar dinero, pero ese libro es fenomenal, habla de los diferentes tipos de seguro que debes tener.
",formal
Gostei. É um jogo divertido com um ritmo acelerado. Gostou dele?,Me gustó. Es un juego divertido con un ritmo acelerado. ¿Le gustó a usted?,"Lo disfruto. Es un juego de ritmo rápido y divertido. ¿Te gusta?
",formal
"Bom, e sabes, pergunto-me se os homens acham que é uma competição de exceder-se tipo ele disse vou ter o teu número pela minha irmã,","Bueno, y sabe, me pregunto si los hombres piensan que es una competición de superarse, tipo él dijo voy a tener su número por mi hermana,","Bueno, y ya sabes, me pregunto si los hombres encuentran una competencia que superar, como él dijo que le dara tu número de mi hermana,
",formal
